Spacecraft: HSEYE2

Start Time (UTC)            Stop Time (UTC)               Duration (s)    Occ Body        Type        Event Number  Total Duration (s)
27 Apr 2022 12:33:22.674    27 Apr 2022 12:33:30.885      8.2108907634    Earth           Penumbra    1             2155.4141978
27 Apr 2022 12:33:30.885    27 Apr 2022 13:09:09.822      2138.9366617    Earth           Umbra       1             2155.4141978
27 Apr 2022 13:09:09.822    27 Apr 2022 13:09:18.089      8.2666454022    Earth           Penumbra    1             2155.4141978
27 Apr 2022 14:06:49.794    27 Apr 2022 14:06:58.006      8.2119531697    Earth           Penumbra    2             2155.3142289
27 Apr 2022 14:06:58.006    27 Apr 2022 14:42:36.840      2138.8338563    Earth           Umbra       2             2155.3142289
27 Apr 2022 14:42:36.840    27 Apr 2022 14:42:45.108      8.2684194320    Earth           Penumbra    2             2155.3142289
27 Apr 2022 15:40:16.961    27 Apr 2022 15:40:25.174      8.2131988253    Earth           Penumbra    3             2155.1969816
27 Apr 2022 15:40:25.174    27 Apr 2022 16:16:03.888      2138.7131974    Earth           Umbra       3             2155.1969816
27 Apr 2022 16:16:03.888    27 Apr 2022 16:16:12.158      8.2705854205    Earth           Penumbra    3             2155.1969816
27 Apr 2022 17:13:44.197    27 Apr 2022 17:13:52.412      8.2145790104    Earth           Penumbra    4             2155.0623411
27 Apr 2022 17:13:52.412    27 Apr 2022 17:49:30.986      2138.5748426    Earth           Umbra       4             2155.0623411
27 Apr 2022 17:49:30.986    27 Apr 2022 17:49:39.259      8.2729195710    Earth           Penumbra    4             2155.0623411
27 Apr 2022 18:47:11.466    27 Apr 2022 18:47:19.682      8.2161050406    Earth           Penumbra    5             2146.6402802
27 Apr 2022 18:47:19.682    27 Apr 2022 19:22:58.106      2138.4241751    Earth           Umbra       5             2146.6402802
27 Apr 2022 20:20:46.940    27 Apr 2022 20:56:25.206      2138.2665675    Earth           Umbra       6             2146.5442493
27 Apr 2022 20:56:25.206    27 Apr 2022 20:56:33.484      8.2776818541    Earth           Penumbra    6             2146.5442493
27 Apr 2022 21:54:05.954    27 Apr 2022 21:54:14.174      8.2200431731    Earth           Penumbra    7             2154.6043878
27 Apr 2022 21:54:14.174    27 Apr 2022 22:29:52.278      2138.1038062    Earth           Umbra       7             2154.6043878
27 Apr 2022 22:29:52.278    27 Apr 2022 22:30:00.559      8.2805384067    Earth           Penumbra    7             2154.6043878
27 Apr 2022 23:27:33.174    27 Apr 2022 23:27:41.396      8.2226526691    Earth           Penumbra    8             2146.1607625
27 Apr 2022 23:27:41.396    28 Apr 2022 00:03:19.334      2137.9381098    Earth           Umbra       8             2146.1607625
28 Apr 2022 01:01:00.381    28 Apr 2022 01:01:08.606      8.2256072899    Earth           Penumbra    9             2154.2840915
28 Apr 2022 01:01:08.606    28 Apr 2022 01:36:46.377      2137.7708343    Earth           Umbra       9             2154.2840915
28 Apr 2022 01:36:46.377    28 Apr 2022 01:36:54.665      8.2876499277    Earth           Penumbra    9             2154.2840915
28 Apr 2022 02:34:27.588    28 Apr 2022 02:34:35.817      8.2287709345    Earth           Penumbra    10            2154.1161565
28 Apr 2022 02:34:35.817    28 Apr 2022 03:10:13.413      2137.5958123    Earth           Umbra       10            2154.1161565
