Spacecraft: HSEYE10

Start Time (UTC)            Stop Time (UTC)               Duration (s)    Occ Body        Type        Event Number  Total Duration (s)
27 Apr 2022 12:54:55.594    27 Apr 2022 12:55:06.106      10.511247616    Earth           Penumbra    1             1996.0740134
27 Apr 2022 12:55:06.106    27 Apr 2022 13:28:01.092      1974.9861161    Earth           Umbra       1             1996.0740134
27 Apr 2022 13:28:01.092    27 Apr 2022 13:28:11.668      10.576649720    Earth           Penumbra    1             1996.0740134
27 Apr 2022 14:28:38.464    27 Apr 2022 14:28:49.023      10.559302638    Earth           Penumbra    2             1992.7711568
27 Apr 2022 14:28:49.023    27 Apr 2022 15:01:40.609      1971.5853990    Earth           Umbra       2             1992.7711568
27 Apr 2022 15:01:40.609    27 Apr 2022 15:01:51.235      10.626455199    Earth           Penumbra    2             1992.7711568
27 Apr 2022 16:02:21.373    27 Apr 2022 16:02:31.981      10.608304082    Earth           Penumbra    3             1989.3996063
27 Apr 2022 16:02:31.981    27 Apr 2022 16:35:20.095      1968.1140237    Earth           Umbra       3             1989.3996063
27 Apr 2022 16:35:20.095    27 Apr 2022 16:35:30.773      10.677278449    Earth           Penumbra    3             1989.3996063
27 Apr 2022 17:36:04.341    27 Apr 2022 17:36:14.999      10.658206372    Earth           Penumbra    4             1985.9751944
27 Apr 2022 17:36:14.999    27 Apr 2022 18:08:59.587      1964.5879852    Earth           Umbra       4             1985.9751944
27 Apr 2022 18:08:59.587    27 Apr 2022 18:09:10.316      10.729002859    Earth           Penumbra    4             1985.9751944
27 Apr 2022 19:09:47.359    27 Apr 2022 19:09:58.068      10.708972102    Earth           Penumbra    5             1982.5170917
27 Apr 2022 19:09:58.068    27 Apr 2022 19:42:39.094      1961.0263824    Earth           Umbra       5             1982.5170917
27 Apr 2022 19:42:39.094    27 Apr 2022 19:42:49.876      10.781737184    Earth           Penumbra    5             1982.5170917
27 Apr 2022 20:43:30.387    27 Apr 2022 20:43:41.147      10.760737688    Earth           Penumbra    6             1979.0257608
27 Apr 2022 20:43:41.147    27 Apr 2022 21:16:18.577      1957.4293270    Earth           Umbra       6             1979.0257608
27 Apr 2022 21:16:18.577    27 Apr 2022 21:16:29.413      10.835696105    Earth           Penumbra    6             1979.0257608
27 Apr 2022 22:17:13.396    27 Apr 2022 22:17:24.209      10.813711840    Earth           Penumbra    7             1975.4900081
27 Apr 2022 22:17:24.209    27 Apr 2022 22:49:57.995      1953.7854113    Earth           Umbra       7             1975.4900081
27 Apr 2022 22:49:57.995    27 Apr 2022 22:50:08.886      10.890884965    Earth           Penumbra    7             1975.4900081
27 Apr 2022 23:50:56.422    27 Apr 2022 23:51:07.290      10.867925361    Earth           Penumbra    8             1971.8990213
27 Apr 2022 23:51:07.290    28 Apr 2022 00:23:37.374      1950.0839902    Earth           Umbra       8             1971.8990213
28 Apr 2022 00:23:37.374    28 Apr 2022 00:23:48.321      10.947105743    Earth           Penumbra    8             1971.8990213
28 Apr 2022 01:24:39.567    28 Apr 2022 01:24:50.490      10.923274839    Earth           Penumbra    9             1968.2414304
28 Apr 2022 01:24:50.490    28 Apr 2022 01:57:16.804      1946.3139197    Earth           Umbra       9             1968.2414304
28 Apr 2022 01:57:16.804    28 Apr 2022 01:57:27.808      11.004235852    Earth           Penumbra    9             1968.2414304
28 Apr 2022 02:58:22.890    28 Apr 2022 02:58:33.869      10.979735758    Earth           Penumbra    10            1964.5121117
28 Apr 2022 02:58:33.869    28 Apr 2022 03:30:56.339      1942.4699945    Earth           Umbra       10            1964.5121117
28 Apr 2022 03:30:56.339    28 Apr 2022 03:31:07.402      11.062381533    Earth           Penumbra    10            1964.5121117
28 Apr 2022 04:32:06.316    28 Apr 2022 04:32:17.354      11.037306231    Earth           Penumbra    11            1960.7241397
28 Apr 2022 04:32:17.354    28 Apr 2022 05:04:35.919      1938.5651226    Earth           Umbra       11            1960.7241397
28 Apr 2022 05:04:35.919    28 Apr 2022 05:04:47.040      11.121710949    Earth           Penumbra    11            1960.7241397
28 Apr 2022 06:05:49.712    28 Apr 2022 06:06:00.807      11.095767491    Earth           Penumbra    12            1956.8957529
28 Apr 2022 06:06:00.807    28 Apr 2022 06:38:15.425      1934.6178054    Earth           Umbra       12            1956.8957529
28 Apr 2022 06:38:15.425    28 Apr 2022 06:38:26.607      11.182180094    Earth           Penumbra    12            1956.8957529
28 Apr 2022 07:39:33.042    28 Apr 2022 07:39:44.197      11.154772528    Earth           Penumbra    13            1953.0267316
28 Apr 2022 07:39:44.197    28 Apr 2022 08:11:54.825      1930.6285199    Earth           Umbra       13            1953.0267316
28 Apr 2022 08:11:54.825    28 Apr 2022 08:12:06.069      11.243439128    Earth           Penumbra    13            1953.0267316
28 Apr 2022 09:13:16.398    28 Apr 2022 09:13:27.612      11.214213527    Earth           Penumbra    14            1949.1051891
28 Apr 2022 09:13:27.612    28 Apr 2022 09:45:34.198      1926.5858631    Earth           Umbra       14            1949.1051891
28 Apr 2022 09:45:34.198    28 Apr 2022 09:45:45.503      11.305112438    Earth           Penumbra    14            1949.1051891
28 Apr 2022 10:46:59.861    28 Apr 2022 10:47:11.135      11.274288828    Earth           Penumbra    15            1945.1282430
28 Apr 2022 10:47:11.135    28 Apr 2022 11:19:13.622      1922.4867287    Earth           Umbra       15            1945.1282430
28 Apr 2022 11:19:13.622    28 Apr 2022 11:19:24.989      11.367225484    Earth           Penumbra    15            1945.1282430
28 Apr 2022 12:20:43.419    28 Apr 2022 12:20:54.754      11.335282889    Earth           Penumbra    16            1941.0941419
28 Apr 2022 12:20:54.754    28 Apr 2022 12:52:53.083      1918.3286014    Earth           Umbra       16            1941.0941419
28 Apr 2022 12:52:53.083    28 Apr 2022 12:53:04.513      11.430257605    Earth           Penumbra    16            1941.0941419
28 Apr 2022 13:54:27.032    28 Apr 2022 13:54:38.430      11.397410708    Earth           Penumbra    17            1936.9867518
28 Apr 2022 13:54:38.430    28 Apr 2022 14:26:32.524      1914.0946744    Earth           Umbra       17            1936.9867518
28 Apr 2022 14:26:32.524    28 Apr 2022 14:26:44.019      11.494666769    Earth           Penumbra    17            1936.9867518
28 Apr 2022 15:28:10.697    28 Apr 2022 15:28:22.158      11.460804928    Earth           Penumbra    18            1932.7939132
28 Apr 2022 15:28:22.158    28 Apr 2022 16:00:11.931      1909.7726267    Earth           Umbra       18            1932.7939132
28 Apr 2022 16:00:11.931    28 Apr 2022 16:00:23.491      11.560481577    Earth           Penumbra    18            1932.7939132
28 Apr 2022 17:01:54.434    28 Apr 2022 17:02:05.960      11.525475292    Earth           Penumbra    19            1928.5306668
28 Apr 2022 17:02:05.960    28 Apr 2022 17:33:51.337      1905.3776712    Earth           Umbra       19            1928.5306668
28 Apr 2022 17:33:51.337    28 Apr 2022 17:34:02.965      11.627520353    Earth           Penumbra    19            1928.5306668
