Spacecraft: HSEYE9

Start Time (UTC)            Stop Time (UTC)               Duration (s)    Occ Body        Type        Event Number  Total Duration (s)
27 Apr 2022 11:59:28.000    27 Apr 2022 11:59:37.033      9.0331413201    Earth           Umbra       1             23.360866110
27 Apr 2022 11:59:37.033    27 Apr 2022 11:59:51.361      14.327724790    Earth           Penumbra    1             23.360866110
27 Apr 2022 13:04:07.506    27 Apr 2022 13:04:21.744      14.238405344    Earth           Penumbra    2             1763.7142023
27 Apr 2022 13:04:21.744    27 Apr 2022 13:33:16.776      1735.0316912    Earth           Umbra       2             1763.7142023
27 Apr 2022 13:33:16.776    27 Apr 2022 13:33:31.220      14.444105735    Earth           Penumbra    2             1763.7142023
27 Apr 2022 14:37:53.944    27 Apr 2022 14:38:08.297      14.353361155    Earth           Penumbra    3             1757.1051492
27 Apr 2022 14:38:08.297    27 Apr 2022 15:06:56.486      1728.1883332    Earth           Umbra       3             1757.1051492
27 Apr 2022 15:06:56.486    27 Apr 2022 15:07:11.049      14.563454816    Earth           Penumbra    3             1757.1051492
27 Apr 2022 16:11:40.503    27 Apr 2022 16:11:54.974      14.471057849    Earth           Penumbra    4             1750.3801957
27 Apr 2022 16:11:54.974    27 Apr 2022 16:40:36.198      1721.2237566    Earth           Umbra       4             1750.3801957
27 Apr 2022 16:40:36.198    27 Apr 2022 16:40:50.884      14.685381332    Earth           Penumbra    4             1750.3801957
27 Apr 2022 17:45:27.175    27 Apr 2022 17:45:41.767      14.591571176    Earth           Penumbra    5             1743.5740361
27 Apr 2022 17:45:41.767    27 Apr 2022 18:14:15.940      1714.1726497    Earth           Umbra       5             1743.5740361
27 Apr 2022 18:14:15.940    27 Apr 2022 18:14:30.750      14.809815190    Earth           Penumbra    5             1743.5740361
27 Apr 2022 19:19:13.925    27 Apr 2022 19:19:28.640      14.714926912    Earth           Penumbra    6             1736.6930001
27 Apr 2022 19:19:28.640    27 Apr 2022 19:47:55.681      1707.0408160    Earth           Umbra       6             1736.6930001
27 Apr 2022 19:47:55.681    27 Apr 2022 19:48:10.618      14.937257103    Earth           Penumbra    6             1736.6930001
27 Apr 2022 20:53:00.729    27 Apr 2022 20:53:15.571      14.841201121    Earth           Penumbra    7             1729.7167951
27 Apr 2022 20:53:15.571    27 Apr 2022 21:21:35.378      1699.8075993    Earth           Umbra       7             1729.7167951
27 Apr 2022 21:21:35.378    27 Apr 2022 21:21:50.446      15.067994676    Earth           Penumbra    7             1729.7167951
27 Apr 2022 22:26:47.622    27 Apr 2022 22:27:02.592      14.970350114    Earth           Penumbra    8             1722.6316466
27 Apr 2022 22:27:02.592    27 Apr 2022 22:55:15.052      1692.4597146    Earth           Umbra       8             1722.6316466
27 Apr 2022 22:55:15.052    27 Apr 2022 22:55:30.253      15.201581887    Earth           Penumbra    8             1722.6316466
28 Apr 2022 00:00:34.700    28 Apr 2022 00:00:49.802      15.102183097    Earth           Penumbra    9             1715.4345516
28 Apr 2022 00:00:49.802    28 Apr 2022 00:28:54.797      1684.9949593    Earth           Umbra       9             1715.4345516
28 Apr 2022 00:28:54.797    28 Apr 2022 00:29:10.135      15.337409265    Earth           Penumbra    9             1715.4345516
28 Apr 2022 01:34:22.035    28 Apr 2022 01:34:37.272      15.236739675    Earth           Penumbra    10            1708.1192234
28 Apr 2022 01:34:37.272    28 Apr 2022 02:02:34.678      1677.4068966    Earth           Umbra       10            1708.1192234
28 Apr 2022 02:02:34.678    28 Apr 2022 02:02:50.154      15.475587139    Earth           Penumbra    10            1708.1192234
28 Apr 2022 03:08:09.562    28 Apr 2022 03:08:24.936      15.374430665    Earth           Penumbra    11            1700.6847492
28 Apr 2022 03:08:24.936    28 Apr 2022 03:36:14.630      1669.6934200    Earth           Umbra       11            1700.6847492
28 Apr 2022 03:36:14.630    28 Apr 2022 03:36:30.247      15.616898483    Earth           Penumbra    11            1700.6847492
28 Apr 2022 04:41:57.128    28 Apr 2022 04:42:12.644      15.515361680    Earth           Penumbra    12            1693.1488083
28 Apr 2022 04:42:12.644    28 Apr 2022 05:09:54.515      1661.8716324    Earth           Umbra       12            1693.1488083
28 Apr 2022 05:09:54.515    28 Apr 2022 05:10:10.277      15.761814150    Earth           Penumbra    12            1693.1488083
28 Apr 2022 06:15:44.664    28 Apr 2022 06:16:00.323      15.658823925    Earth           Penumbra    13            1685.5354801
28 Apr 2022 06:16:00.323    28 Apr 2022 06:43:34.290      1653.9669281    Earth           Umbra       13            1685.5354801
28 Apr 2022 06:43:34.290    28 Apr 2022 06:43:50.200      15.909728128    Earth           Penumbra    13            1685.5354801
28 Apr 2022 07:49:32.245    28 Apr 2022 07:49:48.049      15.803957102    Earth           Penumbra    14            1677.8591105
28 Apr 2022 07:49:48.049    28 Apr 2022 08:17:14.045      1645.9957397    Earth           Umbra       14            1677.8591105
28 Apr 2022 08:17:14.045    28 Apr 2022 08:17:30.104      16.059413622    Earth           Penumbra    14            1677.8591105
28 Apr 2022 09:23:19.970    28 Apr 2022 09:23:35.921      15.950763412    Earth           Penumbra    15            1670.1220720
28 Apr 2022 09:23:35.921    28 Apr 2022 09:50:53.882      1637.9609277    Earth           Umbra       15            1670.1220720
28 Apr 2022 09:50:53.882    28 Apr 2022 09:51:10.093      16.210380918    Earth           Penumbra    15            1670.1220720
28 Apr 2022 10:57:07.856    28 Apr 2022 10:57:23.956      16.100049403    Earth           Penumbra    16            1662.3065664
28 Apr 2022 10:57:23.956    28 Apr 2022 11:24:33.799      1629.8428988    Earth           Umbra       16            1662.3065664
28 Apr 2022 11:24:33.799    28 Apr 2022 11:24:50.162      16.363618243    Earth           Penumbra    16            1662.3065664
28 Apr 2022 12:30:55.871    28 Apr 2022 12:31:12.123      16.252616909    Earth           Penumbra    17            1654.3690479
28 Apr 2022 12:31:12.123    28 Apr 2022 12:58:13.719      1621.5957567    Earth           Umbra       17            1654.3690479
28 Apr 2022 12:58:13.719    28 Apr 2022 12:58:30.240      16.520674259    Earth           Penumbra    17            1654.3690479
28 Apr 2022 14:04:44.015    28 Apr 2022 14:05:00.424      16.408889636    Earth           Penumbra    18            1646.2727178
28 Apr 2022 14:05:00.424    28 Apr 2022 14:31:53.606      1613.1816720    Earth           Umbra       18            1646.2727178
28 Apr 2022 14:31:53.606    28 Apr 2022 14:32:10.288      16.682156234    Earth           Penumbra    18            1646.2727178
28 Apr 2022 15:38:32.311    28 Apr 2022 15:38:48.880      16.569154244    Earth           Penumbra    19            1638.0286124
28 Apr 2022 15:38:48.880    28 Apr 2022 16:05:33.492      1604.6118865    Earth           Umbra       19            1638.0286124
28 Apr 2022 16:05:33.492    28 Apr 2022 16:05:50.339      16.847571626    Earth           Penumbra    19            1638.0286124
28 Apr 2022 17:12:20.753    28 Apr 2022 17:12:37.487      16.733649618    Earth           Penumbra    20            1629.6774196
28 Apr 2022 17:12:37.487    28 Apr 2022 17:39:13.414      1595.9271683    Earth           Umbra       20            1629.6774196
28 Apr 2022 17:39:13.414    28 Apr 2022 17:39:30.431      17.016601714    Earth           Penumbra    20            1629.6774196
