Spacecraft: HSEYE8

Start Time (UTC)            Stop Time (UTC)               Duration (s)    Occ Body        Type        Event Number  Total Duration (s)
27 Apr 2022 11:59:28.000    27 Apr 2022 12:05:56.555      388.55528376    Earth           Umbra       1             412.02545073
27 Apr 2022 12:05:56.555    27 Apr 2022 12:06:20.025      23.470166966    Earth           Penumbra    1             412.02545073
27 Apr 2022 13:17:31.782    27 Apr 2022 13:17:55.167      23.384846631    Earth           Penumbra    2             1349.7036056
27 Apr 2022 13:17:55.167    27 Apr 2022 13:39:37.730      1302.5626520    Earth           Umbra       2             1349.7036056
27 Apr 2022 13:39:37.730    27 Apr 2022 13:40:01.486      23.756107001    Earth           Penumbra    2             1349.7036056
27 Apr 2022 14:51:23.673    27 Apr 2022 14:51:47.350      23.676310549    Earth           Penumbra    3             1339.3322766
27 Apr 2022 14:51:47.350    27 Apr 2022 15:13:18.957      1291.6073148    Earth           Umbra       3             1339.3322766
27 Apr 2022 15:13:18.957    27 Apr 2022 15:13:43.006      24.048651243    Earth           Penumbra    3             1339.3322766
27 Apr 2022 16:25:15.723    27 Apr 2022 16:25:39.696      23.973684967    Earth           Penumbra    4             1328.9192230
27 Apr 2022 16:25:39.696    27 Apr 2022 16:47:00.296      1280.5996503    Earth           Umbra       4             1328.9192230
27 Apr 2022 16:47:00.296    27 Apr 2022 16:47:24.642      24.345887674    Earth           Penumbra    4             1328.9192230
27 Apr 2022 17:59:07.899    27 Apr 2022 17:59:32.177      24.277753173    Earth           Penumbra    5             1318.4938627
27 Apr 2022 17:59:32.177    27 Apr 2022 18:20:41.745      1269.5680861    Earth           Umbra       5             1318.4938627
27 Apr 2022 18:20:41.745    27 Apr 2022 18:21:06.393      24.648023432    Earth           Penumbra    5             1318.4938627
27 Apr 2022 19:33:00.162    27 Apr 2022 19:33:24.750      24.588399497    Earth           Penumbra    6             1308.0560579
27 Apr 2022 19:33:24.750    27 Apr 2022 19:54:23.262      1258.5114821    Earth           Umbra       6             1308.0560579
27 Apr 2022 19:54:23.262    27 Apr 2022 19:54:48.218      24.956176244    Earth           Penumbra    6             1308.0560579
27 Apr 2022 21:06:52.502    27 Apr 2022 21:07:17.405      24.903319334    Earth           Penumbra    7             1297.6315381
27 Apr 2022 21:07:17.405    27 Apr 2022 21:28:04.864      1247.4589892    Earth           Umbra       7             1297.6315381
27 Apr 2022 21:28:04.864    27 Apr 2022 21:28:30.134      25.269229640    Earth           Penumbra    7             1297.6315381
27 Apr 2022 22:40:44.972    27 Apr 2022 22:41:10.191      25.219684420    Earth           Penumbra    8             1287.2723825
27 Apr 2022 22:41:10.191    27 Apr 2022 23:01:46.660      1236.4687290    Earth           Umbra       8             1287.2723825
27 Apr 2022 23:01:46.660    27 Apr 2022 23:02:12.244      25.583969057    Earth           Penumbra    8             1287.2723825
28 Apr 2022 00:14:37.646    28 Apr 2022 00:15:03.183      25.537358969    Earth           Penumbra    9             1276.9855864
28 Apr 2022 00:15:03.183    28 Apr 2022 00:35:28.732      1225.5491965    Earth           Umbra       9             1276.9855864
28 Apr 2022 00:35:28.732    28 Apr 2022 00:35:54.631      25.899030967    Earth           Penumbra    9             1276.9855864
