Spacecraft: HSEYE16

Start Time (UTC)            Stop Time (UTC)               Duration (s)    Occ Body        Type        Event Number  Total Duration (s)
27 Apr 2022 12:10:12.672    27 Apr 2022 12:10:23.336      10.663790919    Earth           Penumbra    1             2003.7556819
27 Apr 2022 12:10:23.336    27 Apr 2022 12:43:25.807      1982.4710876    Earth           Umbra       1             2003.7556819
27 Apr 2022 12:43:25.807    27 Apr 2022 12:43:36.427      10.620803386    Earth           Penumbra    1             2003.7556819
27 Apr 2022 13:43:43.218    27 Apr 2022 13:43:53.874      10.655950487    Earth           Penumbra    2             2004.2932513
27 Apr 2022 13:43:53.874    27 Apr 2022 14:16:56.900      1983.0261851    Earth           Umbra       2             2004.2932513
27 Apr 2022 14:16:56.900    27 Apr 2022 14:17:07.511      10.611115687    Earth           Penumbra    2             2004.2932513
27 Apr 2022 15:17:13.687    27 Apr 2022 15:17:24.334      10.647372028    Earth           Penumbra    3             2004.8410776
27 Apr 2022 15:17:24.334    27 Apr 2022 15:50:27.927      1983.5931872    Earth           Umbra       3             2004.8410776
27 Apr 2022 15:50:27.927    27 Apr 2022 15:50:38.528      10.600518342    Earth           Penumbra    3             2004.8410776
27 Apr 2022 16:50:44.104    27 Apr 2022 16:50:54.743      10.638409154    Earth           Penumbra    4             2005.4182257
27 Apr 2022 16:50:54.743    27 Apr 2022 17:23:58.933      1984.1905710    Earth           Umbra       4             2005.4182257
27 Apr 2022 17:23:58.933    27 Apr 2022 17:24:09.522      10.589245521    Earth           Penumbra    4             2005.4182257
27 Apr 2022 18:24:14.517    27 Apr 2022 18:24:25.146      10.629463568    Earth           Penumbra    5             2006.0325935
27 Apr 2022 18:24:25.146    27 Apr 2022 18:57:29.971      1984.8252754    Earth           Umbra       5             2006.0325935
27 Apr 2022 18:57:29.971    27 Apr 2022 18:57:40.549      10.577854514    Earth           Penumbra    5             2006.0325935
27 Apr 2022 19:57:44.924    27 Apr 2022 19:57:55.544      10.620523640    Earth           Penumbra    6             2006.6769960
27 Apr 2022 19:57:55.544    27 Apr 2022 20:31:01.034      1985.4899190    Earth           Umbra       6             2006.6769960
27 Apr 2022 20:31:01.034    27 Apr 2022 20:31:11.601      10.566553404    Earth           Penumbra    6             2006.6769960
27 Apr 2022 21:31:15.300    27 Apr 2022 21:31:25.911      10.611189553    Earth           Penumbra    7             2007.3423515
27 Apr 2022 21:31:25.911    27 Apr 2022 22:04:32.087      1986.1761532    Earth           Umbra       7             2007.3423515
27 Apr 2022 22:04:32.087    27 Apr 2022 22:04:42.642      10.555008694    Earth           Penumbra    7             2007.3423515
27 Apr 2022 23:04:45.654    27 Apr 2022 23:04:56.255      10.601079720    Earth           Penumbra    8             2008.0234585
27 Apr 2022 23:04:56.255    27 Apr 2022 23:38:03.135      1986.8796642    Earth           Umbra       8             2008.0234585
27 Apr 2022 23:38:03.135    27 Apr 2022 23:38:13.678      10.542714642    Earth           Penumbra    8             2008.0234585
28 Apr 2022 00:38:16.022    28 Apr 2022 00:38:26.612      10.590195400    Earth           Penumbra    9             2008.7174053
28 Apr 2022 00:38:26.612    28 Apr 2022 01:11:34.210      1987.5976855    Earth           Umbra       9             2008.7174053
28 Apr 2022 01:11:34.210    28 Apr 2022 01:11:44.740      10.529524460    Earth           Penumbra    9             2008.7174053
28 Apr 2022 02:11:46.403    28 Apr 2022 02:11:56.982      10.578879830    Earth           Penumbra    10            2009.4253029
28 Apr 2022 02:11:56.982    28 Apr 2022 02:45:05.313      1988.3305993    Earth           Umbra       10            2009.4253029
28 Apr 2022 02:45:05.313    28 Apr 2022 02:45:15.829      10.515823821    Earth           Penumbra    10            2009.4253029
28 Apr 2022 03:45:16.737    28 Apr 2022 03:45:27.305      10.567363095    Earth           Penumbra    11            2010.1515440
28 Apr 2022 03:45:27.305    28 Apr 2022 04:18:36.387      1989.0820816    Earth           Umbra       11            2010.1515440
28 Apr 2022 04:18:36.387    28 Apr 2022 04:18:46.889      10.502099292    Earth           Penumbra    11            2010.1515440
28 Apr 2022 05:18:46.959    28 Apr 2022 05:18:57.514      10.555510665    Earth           Penumbra    12            2010.8982984
28 Apr 2022 05:18:57.514    28 Apr 2022 05:52:07.369      1989.8543950    Earth           Umbra       12            2010.8982984
28 Apr 2022 05:52:07.369    28 Apr 2022 05:52:17.857      10.488392680    Earth           Penumbra    12            2010.8982984
28 Apr 2022 06:52:17.059    28 Apr 2022 06:52:27.603      10.543154378    Earth           Penumbra    13            2011.6675559
28 Apr 2022 06:52:27.603    28 Apr 2022 07:25:38.253      1990.6500068    Earth           Umbra       13            2011.6675559
28 Apr 2022 07:25:38.253    28 Apr 2022 07:25:48.727      10.474394693    Earth           Penumbra    13            2011.6675559
28 Apr 2022 08:25:47.107    28 Apr 2022 08:25:57.637      10.530498228    Earth           Penumbra    14            2012.4669663
28 Apr 2022 08:25:57.637    28 Apr 2022 08:59:09.114      1991.4764218    Earth           Umbra       14            2012.4669663
28 Apr 2022 08:59:09.114    28 Apr 2022 08:59:19.574      10.460046236    Earth           Penumbra    14            2012.4669663
28 Apr 2022 09:59:17.183    28 Apr 2022 09:59:27.701      10.517903999    Earth           Penumbra    15            2013.3009263
28 Apr 2022 09:59:27.701    28 Apr 2022 10:32:40.039      1992.3373361    Earth           Umbra       15            2013.3009263
28 Apr 2022 10:32:40.039    28 Apr 2022 10:32:50.484      10.445686150    Earth           Penumbra    15            2013.3009263
28 Apr 2022 11:32:47.304    28 Apr 2022 11:32:57.810      10.505326430    Earth           Penumbra    16            2014.1566294
28 Apr 2022 11:32:57.810    28 Apr 2022 12:06:11.029      1993.2198421    Earth           Umbra       16            2014.1566294
28 Apr 2022 12:06:11.029    28 Apr 2022 12:06:21.461      10.431460908    Earth           Penumbra    16            2014.1566294
