Spacecraft: HSEYE3

Start Time (UTC)            Stop Time (UTC)               Duration (s)    Occ Body        Type        Event Number  Total Duration (s)
27 Apr 2022 12:27:41.895    27 Apr 2022 12:27:50.362      8.4673153935    Earth           Penumbra    1             2137.6593112
27 Apr 2022 12:27:50.362    27 Apr 2022 13:03:11.076      2120.7131596    Earth           Umbra       1             2137.6593112
27 Apr 2022 13:03:11.076    27 Apr 2022 13:03:19.554      8.4788362146    Earth           Penumbra    1             2137.6593112
27 Apr 2022 14:01:17.238    27 Apr 2022 14:36:38.746      2121.5083147    Earth           Umbra       2             2121.5083147
27 Apr 2022 15:34:35.655    27 Apr 2022 15:34:44.099      8.4445965593    Earth           Penumbra    3             2139.1780583
27 Apr 2022 15:34:44.099    27 Apr 2022 16:10:06.375      2122.2757837    Earth           Umbra       3             2139.1780583
27 Apr 2022 16:10:06.375    27 Apr 2022 16:10:14.833      8.4576779860    Earth           Penumbra    3             2139.1780583
27 Apr 2022 17:08:02.567    27 Apr 2022 17:08:11.000      8.4335940541    Earth           Penumbra    4             2139.9031065
27 Apr 2022 17:08:11.000    27 Apr 2022 17:43:34.022      2123.0218676    Earth           Umbra       4             2139.9031065
27 Apr 2022 17:43:34.022    27 Apr 2022 17:43:42.470      8.4476448479    Earth           Penumbra    4             2139.9031065
27 Apr 2022 18:41:37.962    27 Apr 2022 19:17:01.716      2123.7542726    Earth           Umbra       5             2132.1920587
27 Apr 2022 19:17:01.716    27 Apr 2022 19:17:10.154      8.4377861582    Earth           Penumbra    5             2132.1920587
27 Apr 2022 20:14:56.538    27 Apr 2022 20:15:04.951      8.4122126573    Earth           Penumbra    6             2132.8866558
27 Apr 2022 20:15:04.951    27 Apr 2022 20:50:29.425      2124.4744432    Earth           Umbra       6             2132.8866558
27 Apr 2022 21:48:23.521    27 Apr 2022 21:48:31.923      8.4019902977    Earth           Penumbra    7             2141.9972487
27 Apr 2022 21:48:31.923    27 Apr 2022 22:23:57.099      2125.1766384    Earth           Umbra       7             2141.9972487
27 Apr 2022 22:23:57.099    27 Apr 2022 22:24:05.518      8.4186200984    Earth           Penumbra    7             2141.9972487
27 Apr 2022 23:21:50.471    27 Apr 2022 23:21:58.864      8.3922856255    Earth           Penumbra    8             2142.6626243
27 Apr 2022 23:21:58.864    27 Apr 2022 23:57:24.724      2125.8606139    Earth           Umbra       8             2142.6626243
27 Apr 2022 23:57:24.724    27 Apr 2022 23:57:33.134      8.4097248036    Earth           Penumbra    8             2142.6626243
28 Apr 2022 00:55:17.394    28 Apr 2022 00:55:25.777      8.3830901538    Earth           Penumbra    9             2143.3206659
28 Apr 2022 00:55:25.777    28 Apr 2022 01:30:52.313      2126.5362068    Earth           Umbra       9             2143.3206659
28 Apr 2022 01:30:52.313    28 Apr 2022 01:31:00.715      8.4013688844    Earth           Penumbra    9             2143.3206659
28 Apr 2022 02:28:44.291    28 Apr 2022 02:28:52.665      8.3742347779    Earth           Penumbra    10            2143.9761026
28 Apr 2022 02:28:52.665    28 Apr 2022 03:04:19.874      2127.2084532    Earth           Umbra       10            2143.9761026
28 Apr 2022 03:04:19.874    28 Apr 2022 03:04:28.267      8.3934146678    Earth           Penumbra    10            2143.9761026
28 Apr 2022 04:02:11.183    28 Apr 2022 04:02:19.548      8.3656192292    Earth           Penumbra    11            2144.6199673
28 Apr 2022 04:02:19.548    28 Apr 2022 04:37:47.417      2127.8686223    Earth           Umbra       11            2144.6199673
28 Apr 2022 04:37:47.417    28 Apr 2022 04:37:55.803      8.3857257385    Earth           Penumbra    11            2144.6199673
28 Apr 2022 05:35:46.473    28 Apr 2022 06:11:14.980      2128.5073806    Earth           Umbra       12            2136.8856245
28 Apr 2022 06:11:14.980    28 Apr 2022 06:11:23.359      8.3782439469    Earth           Penumbra    12            2136.8856245
28 Apr 2022 07:09:05.118    28 Apr 2022 07:09:13.468      8.3493776154    Earth           Penumbra    13            2145.8463522
28 Apr 2022 07:09:13.468    28 Apr 2022 07:44:42.594      2129.1260002    Earth           Umbra       13            2145.8463522
28 Apr 2022 07:44:42.594    28 Apr 2022 07:44:50.964      8.3709743223    Earth           Penumbra    13            2145.8463522
28 Apr 2022 08:42:32.167    28 Apr 2022 08:42:40.509      8.3417044021    Earth           Penumbra    14            2146.4327489
28 Apr 2022 08:42:40.509    28 Apr 2022 09:18:10.236      2129.7271493    Earth           Umbra       14            2146.4327489
28 Apr 2022 09:18:10.236    28 Apr 2022 09:18:18.600      8.3638951764    Earth           Penumbra    14            2146.4327489
28 Apr 2022 10:16:07.546    28 Apr 2022 10:51:37.851      2130.3053026    Earth           Umbra       15            2138.6622013
28 Apr 2022 10:51:37.851    28 Apr 2022 10:51:46.208      8.3568986971    Earth           Penumbra    15            2138.6622013
28 Apr 2022 11:49:26.214    28 Apr 2022 11:49:34.540      8.3264871617    Earth           Penumbra    16            2147.5301991
28 Apr 2022 11:49:34.540    28 Apr 2022 12:25:05.394      2130.8538176    Earth           Umbra       16            2147.5301991
28 Apr 2022 12:25:05.394    28 Apr 2022 12:25:13.744      8.3498943597    Earth           Penumbra    16            2147.5301991
28 Apr 2022 13:22:53.167    28 Apr 2022 13:23:01.486      8.3189654513    Earth           Penumbra    17            2148.0351058
28 Apr 2022 13:23:01.486    28 Apr 2022 13:58:32.859      2131.3731459    Earth           Umbra       17            2148.0351058
28 Apr 2022 13:58:32.859    28 Apr 2022 13:58:41.202      8.3429943770    Earth           Penumbra    17            2148.0351058
28 Apr 2022 14:56:20.102    28 Apr 2022 14:56:28.413      8.3116395632    Earth           Penumbra    18            2148.5154800
28 Apr 2022 14:56:28.413    28 Apr 2022 15:32:00.281      2131.8674113    Earth           Umbra       18            2148.5154800
28 Apr 2022 15:32:00.281    28 Apr 2022 15:32:08.617      8.3364291466    Earth           Penumbra    18            2148.5154800
28 Apr 2022 16:29:47.073    28 Apr 2022 16:29:55.377      8.3045330714    Earth           Penumbra    19            2148.9754525
28 Apr 2022 16:29:55.377    28 Apr 2022 17:05:27.718      2132.3406721    Earth           Umbra       19            2148.9754525
28 Apr 2022 17:05:27.718    28 Apr 2022 17:05:36.048      8.3302473882    Earth           Penumbra    19            2148.9754525
28 Apr 2022 18:03:14.107    28 Apr 2022 18:03:22.404      8.2976114005    Earth           Penumbra    20            2149.4201956
28 Apr 2022 18:03:22.404    28 Apr 2022 18:38:55.202      2132.7983306    Earth           Umbra       20            2149.4201956
28 Apr 2022 18:38:55.202    28 Apr 2022 18:39:03.527      8.3242535940    Earth           Penumbra    20            2149.4201956
28 Apr 2022 19:36:41.176    28 Apr 2022 19:36:49.467      8.2908729790    Earth           Penumbra    21            2149.8533996
28 Apr 2022 19:36:49.467    28 Apr 2022 20:12:22.711      2133.2442008    Earth           Umbra       21            2149.8533996
28 Apr 2022 20:12:22.711    28 Apr 2022 20:12:31.029      8.3183258073    Earth           Penumbra    21            2149.8533996
28 Apr 2022 21:10:16.518    28 Apr 2022 21:45:50.195      2133.6765721    Earth           Umbra       22            2141.9891905
28 Apr 2022 21:45:50.195    28 Apr 2022 21:45:58.507      8.3126183599    Earth           Penumbra    22            2141.9891905
28 Apr 2022 22:43:35.262    28 Apr 2022 22:43:43.541      8.2784437691    Earth           Penumbra    23            2150.6804853
28 Apr 2022 22:43:43.541    28 Apr 2022 23:19:17.636      2134.0946629    Earth           Umbra       23            2150.6804853
28 Apr 2022 23:19:17.636    28 Apr 2022 23:19:25.943      8.3073786227    Earth           Penumbra    23            2150.6804853
29 Apr 2022 00:17:02.267    29 Apr 2022 00:17:10.540      8.2729506888    Earth           Penumbra    24            2151.0808151
29 Apr 2022 00:17:10.540    29 Apr 2022 00:52:45.046      2134.5051940    Earth           Umbra       24            2151.0808151
29 Apr 2022 00:52:45.046    29 Apr 2022 00:52:53.348      8.3026704029    Earth           Penumbra    24            2151.0808151
29 Apr 2022 01:50:37.518    29 Apr 2022 02:26:12.432      2134.9134085    Earth           Umbra       25            2143.2117746
29 Apr 2022 02:26:12.432    29 Apr 2022 02:26:20.730      8.2983660861    Earth           Penumbra    25            2143.2117746
29 Apr 2022 03:23:56.225    29 Apr 2022 03:24:04.488      8.2629090641    Earth           Penumbra    26            2151.8698123
29 Apr 2022 03:24:04.488    29 Apr 2022 03:59:39.801      2135.3125916    Earth           Umbra       26            2151.8698123
29 Apr 2022 03:59:39.801    29 Apr 2022 03:59:48.095      8.2943116548    Earth           Penumbra    26            2151.8698123
29 Apr 2022 04:57:23.237    29 Apr 2022 04:57:31.495      8.2582621370    Earth           Penumbra    27            2152.2411051
29 Apr 2022 04:57:31.495    29 Apr 2022 05:33:07.187      2135.6924059    Earth           Umbra       27            2152.2411051
29 Apr 2022 05:33:07.187    29 Apr 2022 05:33:15.478      8.2904370152    Earth           Penumbra    27            2152.2411051
29 Apr 2022 06:30:50.319    29 Apr 2022 06:30:58.573      8.2539474475    Earth           Penumbra    28            2152.5926415
29 Apr 2022 06:30:58.573    29 Apr 2022 07:06:34.625      2136.0519465    Earth           Umbra       28            2152.5926415
29 Apr 2022 07:06:34.625    29 Apr 2022 07:06:42.911      8.2867475110    Earth           Penumbra    28            2152.5926415
29 Apr 2022 08:04:17.456    29 Apr 2022 08:04:25.706      8.2498901873    Earth           Penumbra    29            2152.9277448
29 Apr 2022 08:04:25.706    29 Apr 2022 08:40:02.101      2136.3946184    Earth           Umbra       29            2152.9277448
29 Apr 2022 08:40:02.101    29 Apr 2022 08:40:10.384      8.2832362270    Earth           Penumbra    29            2152.9277448
29 Apr 2022 09:37:44.597    29 Apr 2022 09:37:52.843      8.2459027064    Earth           Penumbra    30            2144.9625562
29 Apr 2022 09:37:52.843    29 Apr 2022 10:13:29.560      2136.7166535    Earth           Umbra       30            2144.9625562
29 Apr 2022 11:11:11.700    29 Apr 2022 11:11:19.942      8.2418941660    Earth           Penumbra    31            2153.5294225
29 Apr 2022 11:11:19.942    29 Apr 2022 11:46:56.953      2137.0111679    Earth           Umbra       31            2153.5294225
29 Apr 2022 11:46:56.953    29 Apr 2022 11:47:05.229      8.2763604471    Earth           Penumbra    31            2153.5294225
29 Apr 2022 12:44:46.991    29 Apr 2022 13:20:24.270      2137.2782763    Earth           Umbra       32            2145.5512481
29 Apr 2022 13:20:24.270    29 Apr 2022 13:20:32.543      8.2729717484    Earth           Penumbra    32            2145.5512481
29 Apr 2022 14:18:05.785    29 Apr 2022 14:18:14.019      8.2341665751    Earth           Penumbra    33            2154.0268437
29 Apr 2022 14:18:14.019    29 Apr 2022 14:53:51.542      2137.5227967    Earth           Umbra       33            2154.0268437
29 Apr 2022 14:53:51.542    29 Apr 2022 14:53:59.812      8.2698803977    Earth           Penumbra    33            2154.0268437
29 Apr 2022 15:51:32.848    29 Apr 2022 15:51:41.078      8.2305939985    Earth           Penumbra    34            2145.9781503
29 Apr 2022 15:51:41.078    29 Apr 2022 16:27:18.826      2137.7475563    Earth           Umbra       34            2145.9781503
29 Apr 2022 17:24:59.976    29 Apr 2022 17:25:08.203      8.2271876978    Earth           Penumbra    35            2154.4470800
29 Apr 2022 17:25:08.203    29 Apr 2022 18:00:46.158      2137.9551768    Earth           Umbra       35            2154.4470800
29 Apr 2022 18:00:46.158    29 Apr 2022 18:00:54.423      8.2647154690    Earth           Penumbra    35            2154.4470800
29 Apr 2022 18:58:27.148    29 Apr 2022 18:58:35.372      8.2239388721    Earth           Penumbra    36            2154.6363232
29 Apr 2022 18:58:35.372    29 Apr 2022 19:34:13.522      2138.1501051    Earth           Umbra       36            2154.6363232
29 Apr 2022 19:34:13.522    29 Apr 2022 19:34:21.784      8.2622791640    Earth           Penumbra    36            2154.6363232
29 Apr 2022 20:31:54.314    29 Apr 2022 20:32:02.535      8.2209364744    Earth           Penumbra    37            2154.8153499
29 Apr 2022 20:32:02.535    29 Apr 2022 21:07:40.869      2138.3344405    Earth           Umbra       37            2154.8153499
29 Apr 2022 21:07:40.869    29 Apr 2022 21:07:49.129      8.2599729882    Earth           Penumbra    37            2154.8153499
29 Apr 2022 22:05:21.453    29 Apr 2022 22:05:29.672      8.2183338935    Earth           Penumbra    38            2146.7266415
29 Apr 2022 22:05:29.672    29 Apr 2022 22:41:08.180      2138.5083076    Earth           Umbra       38            2146.7266415
29 Apr 2022 23:38:56.789    30 Apr 2022 00:14:35.465      2138.6757906    Earth           Umbra       39            2146.9324793
30 Apr 2022 00:14:35.465    30 Apr 2022 00:14:43.722      8.2566886442    Earth           Penumbra    39            2146.9324793
30 Apr 2022 01:12:15.674    30 Apr 2022 01:12:23.889      8.2144545391    Earth           Penumbra    40            2155.3116747
30 Apr 2022 01:12:23.889    30 Apr 2022 01:48:02.730      2138.8414921    Earth           Umbra       40            2155.3116747
30 Apr 2022 01:48:02.730    30 Apr 2022 01:48:10.986      8.2557280781    Earth           Penumbra    40            2155.3116747
30 Apr 2022 02:45:42.767    30 Apr 2022 02:45:50.980      8.2129385672    Earth           Penumbra    41            2155.4686135
30 Apr 2022 02:45:50.980    30 Apr 2022 03:21:29.981      2139.0006685    Earth           Umbra       41            2155.4686135
30 Apr 2022 03:21:29.981    30 Apr 2022 03:21:38.236      8.2550063962    Earth           Penumbra    41            2155.4686135
30 Apr 2022 04:19:09.890    30 Apr 2022 04:19:18.102      8.2116410485    Earth           Penumbra    42            2155.6088366
30 Apr 2022 04:19:18.102    30 Apr 2022 04:54:57.244      2139.1427556    Earth           Umbra       42            2155.6088366
30 Apr 2022 04:54:57.244    30 Apr 2022 04:55:05.499      8.2544399891    Earth           Penumbra    42            2155.6088366
30 Apr 2022 05:52:37.084    30 Apr 2022 05:52:45.295      8.2106355345    Earth           Penumbra    43            2155.7291808
30 Apr 2022 05:52:45.295    30 Apr 2022 06:28:24.559      2139.2645136    Earth           Umbra       43            2155.7291808
30 Apr 2022 06:28:24.559    30 Apr 2022 06:28:32.813      8.2540316856    Earth           Penumbra    43            2155.7291808
30 Apr 2022 07:26:04.342    30 Apr 2022 07:26:12.551      8.2098839921    Earth           Penumbra    44            2155.8330568
30 Apr 2022 07:26:12.551    30 Apr 2022 08:01:51.921      2139.3693810    Earth           Umbra       44            2155.8330568
30 Apr 2022 08:01:51.921    30 Apr 2022 08:02:00.175      8.2537918584    Earth           Penumbra    44            2155.8330568
30 Apr 2022 08:59:31.612    30 Apr 2022 08:59:39.821      8.2092104014    Earth           Penumbra    45            2147.6647987
30 Apr 2022 08:59:39.821    30 Apr 2022 09:35:19.277      2139.4555883    Earth           Umbra       45            2147.6647987
30 Apr 2022 10:33:07.057    30 Apr 2022 11:08:46.574      2139.5164893    Earth           Umbra       46            2147.7699556
30 Apr 2022 11:08:46.574    30 Apr 2022 11:08:54.827      8.2534662215    Earth           Penumbra    46            2147.7699556
30 Apr 2022 12:06:26.036    30 Apr 2022 12:06:34.244      8.2078217296    Earth           Penumbra    47            2156.0126271
30 Apr 2022 12:06:34.244    30 Apr 2022 12:42:13.795      2139.5514985    Earth           Umbra       47            2156.0126271
30 Apr 2022 12:42:13.795    30 Apr 2022 12:42:22.049      8.2533068606    Earth           Penumbra    47            2156.0126271
30 Apr 2022 13:39:53.197    30 Apr 2022 13:40:01.405      8.2072949270    Earth           Penumbra    48            2156.0268190
30 Apr 2022 13:40:01.405    30 Apr 2022 14:15:40.971      2139.5661232    Earth           Umbra       48            2156.0268190
30 Apr 2022 14:15:40.971    30 Apr 2022 14:15:49.224      8.2534008427    Earth           Penumbra    48            2156.0268190
30 Apr 2022 15:13:20.385    30 Apr 2022 15:13:28.592      8.2069623750    Earth           Penumbra    49            2147.7699138
30 Apr 2022 15:13:28.592    30 Apr 2022 15:49:08.155      2139.5629514    Earth           Umbra       49            2147.7699138
30 Apr 2022 16:46:47.639    30 Apr 2022 16:46:55.846      8.2067854120    Earth           Penumbra    50            2156.0033442
30 Apr 2022 16:46:55.846    30 Apr 2022 17:22:35.388      2139.5418878    Earth           Umbra       50            2156.0033442
30 Apr 2022 17:22:35.388    30 Apr 2022 17:22:43.642      8.2546710153    Earth           Penumbra    50            2156.0033442
30 Apr 2022 18:20:14.945    30 Apr 2022 18:20:23.151      8.2067439216    Earth           Penumbra    51            2155.9686588
30 Apr 2022 18:20:23.151    30 Apr 2022 18:56:02.658      2139.5064512    Earth           Umbra       51            2155.9686588
30 Apr 2022 18:56:02.658    30 Apr 2022 18:56:10.913      8.2554637338    Earth           Penumbra    51            2155.9686588
30 Apr 2022 19:53:42.251    30 Apr 2022 19:53:50.458      8.2069051685    Earth           Penumbra    52            2155.9250031
30 Apr 2022 19:53:50.458    30 Apr 2022 20:29:29.920      2139.4617908    Earth           Umbra       52            2155.9250031
30 Apr 2022 20:29:29.920    30 Apr 2022 20:29:38.176      8.2563070580    Earth           Penumbra    52            2155.9250031
30 Apr 2022 21:27:17.741    30 Apr 2022 22:02:57.151      2139.4101265    Earth           Umbra       53            2147.6676028
30 Apr 2022 22:02:57.151    30 Apr 2022 22:03:05.409      8.2574763335    Earth           Penumbra    53            2147.6676028
30 Apr 2022 23:00:36.799    30 Apr 2022 23:00:45.008      8.2083790214    Earth           Penumbra    54            2155.8212673
30 Apr 2022 23:00:45.008    30 Apr 2022 23:36:24.361      2139.3537293    Earth           Umbra       54            2155.8212673
30 Apr 2022 23:36:24.361    30 Apr 2022 23:36:32.621      8.2591588958    Earth           Penumbra    54            2155.8212673
01 May 2022 00:34:04.052    01 May 2022 00:34:12.261      8.2097412902    Earth           Penumbra    55            2155.7668856
01 May 2022 00:34:12.261    01 May 2022 01:09:51.557      2139.2958618    Earth           Umbra       55            2155.7668856
01 May 2022 01:09:51.557    01 May 2022 01:09:59.818      8.2612824510    Earth           Penumbra    55            2155.7668856
01 May 2022 02:07:31.295    01 May 2022 02:07:39.506      8.2113528159    Earth           Penumbra    56            2147.4447574
01 May 2022 02:07:39.506    01 May 2022 02:43:18.739      2139.2334046    Earth           Umbra       56            2147.4447574
01 May 2022 03:41:06.776    01 May 2022 04:16:45.932      2139.1563362    Earth           Umbra       57            2147.4224796
01 May 2022 04:16:45.932    01 May 2022 04:16:54.198      8.2661434310    Earth           Penumbra    57            2147.4224796
01 May 2022 05:14:25.901    01 May 2022 05:14:34.116      8.2152032526    Earth           Penumbra    58            2155.5432135
01 May 2022 05:14:34.116    01 May 2022 05:50:13.175      2139.0592476    Earth           Umbra       58            2155.5432135
01 May 2022 05:50:13.175    01 May 2022 05:50:21.444      8.2687626709    Earth           Penumbra    58            2155.5432135
01 May 2022 06:47:53.310    01 May 2022 06:48:01.527      8.2174971700    Earth           Penumbra    59            2155.4339048
01 May 2022 06:48:01.527    01 May 2022 07:23:40.472      2138.9448642    Earth           Umbra       59            2155.4339048
01 May 2022 07:23:40.472    01 May 2022 07:23:48.743      8.2715434721    Earth           Penumbra    59            2155.4339048
01 May 2022 08:21:20.741    01 May 2022 08:21:28.961      8.2198872697    Earth           Penumbra    60            2155.3076680
