Spacecraft: HSEYE18

Start Time (UTC)            Stop Time (UTC)               Duration (s)    Occ Body        Type        Event Number  Total Duration (s)
27 Apr 2022 11:59:28.000    27 Apr 2022 12:27:15.641      1667.6407255    Earth           Umbra       1             1677.1632542
27 Apr 2022 12:27:15.641    27 Apr 2022 12:27:25.163      9.5225286903    Earth           Penumbra    1             1677.1632542
27 Apr 2022 13:26:14.807    27 Apr 2022 13:26:24.245      9.4376553199    Earth           Penumbra    2             2079.0245882
27 Apr 2022 13:26:24.245    27 Apr 2022 14:00:44.292      2060.0470630    Earth           Umbra       2             2079.0245882
27 Apr 2022 14:00:44.292    27 Apr 2022 14:00:53.832      9.5398698002    Earth           Penumbra    2             2079.0245882
27 Apr 2022 14:59:44.644    27 Apr 2022 14:59:54.099      9.4546550768    Earth           Penumbra    3             2077.9136994
27 Apr 2022 14:59:54.099    27 Apr 2022 15:34:13.001      2058.9017828    Earth           Umbra       3             2077.9136994
27 Apr 2022 15:34:13.001    27 Apr 2022 15:34:22.558      9.5572615159    Earth           Penumbra    3             2077.9136994
27 Apr 2022 16:33:14.498    27 Apr 2022 16:33:23.969      9.4715199899    Earth           Penumbra    4             2076.7961144
27 Apr 2022 16:33:23.969    27 Apr 2022 17:07:41.720      2057.7503237    Earth           Umbra       4             2076.7961144
27 Apr 2022 17:07:41.720    27 Apr 2022 17:07:51.294      9.5742707024    Earth           Penumbra    4             2076.7961144
27 Apr 2022 18:06:44.331    27 Apr 2022 18:06:53.819      9.4883757876    Earth           Penumbra    5             2075.6903978
27 Apr 2022 18:06:53.819    27 Apr 2022 18:41:10.430      2056.6110527    Earth           Umbra       5             2075.6903978
27 Apr 2022 18:41:10.430    27 Apr 2022 18:41:20.021      9.5909693395    Earth           Penumbra    5             2075.6903978
27 Apr 2022 19:40:14.158    27 Apr 2022 19:40:23.664      9.5054541249    Earth           Penumbra    6             2074.6041403
27 Apr 2022 19:40:23.664    27 Apr 2022 20:14:39.155      2055.4908362    Earth           Umbra       6             2074.6041403
27 Apr 2022 20:14:39.155    27 Apr 2022 20:14:48.762      9.6078499686    Earth           Penumbra    6             2074.6041403
27 Apr 2022 21:13:44.003    27 Apr 2022 21:13:53.526      9.5229039900    Earth           Penumbra    7             2073.5297672
27 Apr 2022 21:13:53.526    27 Apr 2022 21:48:07.907      2054.3816350    Earth           Umbra       7             2073.5297672
27 Apr 2022 21:48:07.907    27 Apr 2022 21:48:17.533      9.6252281684    Earth           Penumbra    7             2073.5297672
27 Apr 2022 22:47:13.858    27 Apr 2022 22:47:23.399      9.5406574896    Earth           Penumbra    8             2072.4596255
27 Apr 2022 22:47:23.399    27 Apr 2022 23:21:36.675      2053.2760706    Earth           Umbra       8             2072.4596255
27 Apr 2022 23:21:36.675    27 Apr 2022 23:21:46.318      9.6428974299    Earth           Penumbra    8             2072.4596255
28 Apr 2022 00:20:43.728    28 Apr 2022 00:20:53.287      9.5584292198    Earth           Penumbra    9             2071.3911438
28 Apr 2022 00:20:53.287    28 Apr 2022 00:55:05.459      2052.1723421    Earth           Umbra       9             2071.3911438
28 Apr 2022 00:55:05.459    28 Apr 2022 00:55:15.119      9.6603724407    Earth           Penumbra    9             2071.3911438
28 Apr 2022 01:54:13.655    28 Apr 2022 01:54:23.231      9.5759890974    Earth           Penumbra    10            2070.3209722
28 Apr 2022 01:54:23.231    28 Apr 2022 02:28:34.299      2051.0675723    Earth           Umbra       10            2070.3209722
28 Apr 2022 02:28:34.299    28 Apr 2022 02:28:43.976      9.6774108591    Earth           Penumbra    10            2070.3209722
28 Apr 2022 03:27:43.669    28 Apr 2022 03:27:53.262      9.5933820703    Earth           Penumbra    11            2069.2460202
28 Apr 2022 03:27:53.262    28 Apr 2022 04:02:03.221      2049.9584425    Earth           Umbra       11            2069.2460202
28 Apr 2022 04:02:03.221    28 Apr 2022 04:02:12.915      9.6941956202    Earth           Penumbra    11            2069.2460202
28 Apr 2022 05:01:13.733    28 Apr 2022 05:01:23.344      9.6107304096    Earth           Penumbra    12            2068.1673101
28 Apr 2022 05:01:23.344    28 Apr 2022 05:35:32.189      2048.8455849    Earth           Umbra       12            2068.1673101
28 Apr 2022 05:35:32.189    28 Apr 2022 05:35:41.900      9.7109948401    Earth           Penumbra    12            2068.1673101
28 Apr 2022 06:34:43.776    28 Apr 2022 06:34:53.404      9.6279369900    Earth           Penumbra    13            2067.0863973
28 Apr 2022 06:34:53.404    28 Apr 2022 07:09:01.135      2047.7307052    Earth           Umbra       13            2067.0863973
28 Apr 2022 07:09:01.135    28 Apr 2022 07:09:10.862      9.7277550842    Earth           Penumbra    13            2067.0863973
28 Apr 2022 08:08:13.755    28 Apr 2022 08:08:23.400      9.6448267344    Earth           Penumbra    14            2066.0048071
28 Apr 2022 08:08:23.400    28 Apr 2022 08:42:30.016      2046.6157696    Earth           Umbra       14            2066.0048071
28 Apr 2022 08:42:30.016    28 Apr 2022 08:42:39.760      9.7442107508    Earth           Penumbra    14            2066.0048071
28 Apr 2022 09:41:43.685    28 Apr 2022 09:41:53.347      9.6614804235    Earth           Penumbra    15            2064.9298887
28 Apr 2022 09:41:53.347    28 Apr 2022 10:15:58.855      2045.5080332    Earth           Umbra       15            2064.9298887
28 Apr 2022 10:15:58.855    28 Apr 2022 10:16:08.615      9.7603750415    Earth           Penumbra    15            2064.9298887
28 Apr 2022 11:15:13.624    28 Apr 2022 11:15:23.302      9.6781796892    Earth           Penumbra    16            2063.8693181
28 Apr 2022 11:15:23.302    28 Apr 2022 11:49:27.717      2044.4144831    Earth           Umbra       16            2063.8693181
28 Apr 2022 11:49:27.717    28 Apr 2022 11:49:37.493      9.7766553168    Earth           Penumbra    16            2063.8693181
28 Apr 2022 12:48:43.629    28 Apr 2022 12:48:53.324      9.6950185136    Earth           Penumbra    17            2062.8167850
28 Apr 2022 12:48:53.324    28 Apr 2022 13:22:56.652      2043.3284421    Earth           Umbra       17            2062.8167850
28 Apr 2022 13:22:56.652    28 Apr 2022 13:23:06.446      9.7933244077    Earth           Penumbra    17            2062.8167850
28 Apr 2022 14:22:13.706    28 Apr 2022 14:22:23.418      9.7117913305    Earth           Penumbra    18            2061.7576433
28 Apr 2022 14:22:23.418    28 Apr 2022 14:56:25.654      2042.2357629    Earth           Umbra       18            2061.7576433
28 Apr 2022 14:56:25.654    28 Apr 2022 14:56:35.464      9.8100890522    Earth           Penumbra    18            2061.7576433
