Spacecraft: HSEYE17

Start Time (UTC)            Stop Time (UTC)               Duration (s)    Occ Body        Type        Event Number  Total Duration (s)
27 Apr 2022 12:01:17.638    27 Apr 2022 12:01:27.996      10.358036065    Earth           Penumbra    1             2021.1973712
27 Apr 2022 12:01:27.996    27 Apr 2022 12:34:48.414      2000.4183986    Earth           Umbra       1             2021.1973712
27 Apr 2022 12:34:48.414    27 Apr 2022 12:34:58.835      10.420936486    Earth           Penumbra    1             2021.1973712
27 Apr 2022 13:34:48.047    27 Apr 2022 13:34:58.417      10.369863978    Earth           Penumbra    2             2020.5245069
27 Apr 2022 13:34:58.417    27 Apr 2022 14:08:18.140      1999.7230968    Earth           Umbra       2             2020.5245069
27 Apr 2022 14:08:18.140    27 Apr 2022 14:08:28.571      10.431546089    Earth           Penumbra    2             2020.5245069
27 Apr 2022 15:08:18.454    27 Apr 2022 15:08:28.835      10.381173261    Earth           Penumbra    3             2019.8551093
27 Apr 2022 15:08:28.835    27 Apr 2022 15:41:47.868      1999.0324331    Earth           Umbra       3             2019.8551093
27 Apr 2022 15:41:47.868    27 Apr 2022 15:41:58.309      10.441502847    Earth           Penumbra    3             2019.8551093
27 Apr 2022 16:41:48.818    27 Apr 2022 16:41:59.210      10.391987488    Earth           Penumbra    4             2019.2068689
27 Apr 2022 16:41:59.210    27 Apr 2022 17:15:17.574      1998.3642796    Earth           Umbra       4             2019.2068689
27 Apr 2022 17:15:17.574    27 Apr 2022 17:15:28.025      10.450601822    Earth           Penumbra    4             2019.2068689
27 Apr 2022 18:15:19.160    27 Apr 2022 18:15:29.563      10.402642353    Earth           Penumbra    5             2018.5953476
27 Apr 2022 18:15:29.563    27 Apr 2022 18:48:47.296      1997.7333854    Earth           Umbra       5             2018.5953476
27 Apr 2022 18:48:47.296    27 Apr 2022 18:48:57.756      10.459319840    Earth           Penumbra    5             2018.5953476
27 Apr 2022 19:48:49.514    27 Apr 2022 19:48:59.927      10.413414775    Earth           Penumbra    6             2018.0166885
27 Apr 2022 19:48:59.927    27 Apr 2022 20:22:17.062      1997.1350454    Earth           Umbra       6             2018.0166885
27 Apr 2022 20:22:17.062    27 Apr 2022 20:22:27.531      10.468228336    Earth           Penumbra    6             2018.0166885
27 Apr 2022 21:22:19.874    27 Apr 2022 21:22:30.299      10.424273321    Earth           Penumbra    7             2017.4591666
27 Apr 2022 21:22:30.299    27 Apr 2022 21:55:46.856      1996.5575764    Earth           Umbra       7             2017.4591666
27 Apr 2022 21:55:46.856    27 Apr 2022 21:55:57.334      10.477316938    Earth           Penumbra    7             2017.4591666
27 Apr 2022 22:55:50.230    27 Apr 2022 22:56:00.664      10.434855579    Earth           Penumbra    8             2016.9182683
27 Apr 2022 22:56:00.664    27 Apr 2022 23:29:16.662      1995.9974013    Earth           Umbra       8             2016.9182683
27 Apr 2022 23:29:16.662    27 Apr 2022 23:29:27.148      10.486011382    Earth           Penumbra    8             2016.9182683
28 Apr 2022 00:29:20.607    28 Apr 2022 00:29:31.052      10.444786563    Earth           Penumbra    9             2016.3942411
28 Apr 2022 00:29:31.052    28 Apr 2022 01:02:46.507      1995.4556766    Earth           Umbra       9             2016.3942411
28 Apr 2022 01:02:46.507    28 Apr 2022 01:02:57.001      10.493777948    Earth           Penumbra    9             2016.3942411
28 Apr 2022 02:02:51.040    28 Apr 2022 02:03:01.494      10.454049613    Earth           Penumbra    10            2015.8860344
28 Apr 2022 02:03:01.494    28 Apr 2022 02:36:16.426      1994.9313025    Earth           Umbra       10            2015.8860344
28 Apr 2022 02:36:16.426    28 Apr 2022 02:36:26.926      10.500682332    Earth           Penumbra    10            2015.8860344
28 Apr 2022 03:36:21.510    28 Apr 2022 03:36:31.973      10.462914733    Earth           Penumbra    11            2015.3930386
28 Apr 2022 03:36:31.973    28 Apr 2022 04:09:46.396      1994.4228911    Earth           Umbra       11            2015.3930386
28 Apr 2022 04:09:46.396    28 Apr 2022 04:09:56.903      10.507232789    Earth           Penumbra    11            2015.3930386
28 Apr 2022 05:09:51.944    28 Apr 2022 05:10:02.416      10.471474647    Earth           Penumbra    12            2014.9162257
28 Apr 2022 05:10:02.416    28 Apr 2022 05:43:16.347      1993.9310658    Earth           Umbra       12            2014.9162257
28 Apr 2022 05:43:16.347    28 Apr 2022 05:43:26.860      10.513685178    Earth           Penumbra    12            2014.9162257
28 Apr 2022 06:43:22.286    28 Apr 2022 06:43:32.765      10.479506501    Earth           Penumbra    13            2014.4578533
28 Apr 2022 06:43:32.765    28 Apr 2022 07:16:46.224      1993.4585676    Earth           Umbra       13            2014.4578533
28 Apr 2022 07:16:46.224    28 Apr 2022 07:16:56.744      10.519779241    Earth           Penumbra    13            2014.4578533
28 Apr 2022 08:16:52.542    28 Apr 2022 08:17:03.029      10.486927943    Earth           Penumbra    14            2014.0252638
28 Apr 2022 08:17:03.029    28 Apr 2022 08:50:16.042      1993.0130831    Earth           Umbra       14            2014.0252638
28 Apr 2022 08:50:16.042    28 Apr 2022 08:50:26.567      10.525252833    Earth           Penumbra    14            2014.0252638
28 Apr 2022 09:50:22.778    28 Apr 2022 09:50:33.272      10.494053923    Earth           Penumbra    15            2013.6281829
28 Apr 2022 09:50:33.272    28 Apr 2022 10:23:45.876      1992.6037527    Earth           Umbra       15            2013.6281829
28 Apr 2022 10:23:45.876    28 Apr 2022 10:23:56.406      10.530376271    Earth           Penumbra    15            2013.6281829
28 Apr 2022 11:23:53.063    28 Apr 2022 11:24:03.565      10.501183989    Earth           Penumbra    16            2013.2640372
28 Apr 2022 11:24:03.565    28 Apr 2022 11:57:15.792      1992.2272334    Earth           Umbra       16            2013.2640372
