Target: HSEYE17

Observer: Bahrain
Start Time (UTC)            Stop Time (UTC)               Duration (s)         
27 Apr 2022 13:18:25.358    27 Apr 2022 13:26:02.822      457.46408006    
27 Apr 2022 14:56:30.484    27 Apr 2022 15:02:27.240      356.75618547    
28 Apr 2022 04:24:04.940    28 Apr 2022 04:31:41.537      456.59667881    
28 Apr 2022 06:02:28.603    28 Apr 2022 06:08:23.696      355.09302844    
28 Apr 2022 12:38:44.166    28 Apr 2022 12:45:44.786      420.61938011    
28 Apr 2022 14:16:05.846    28 Apr 2022 14:23:09.855      424.00860779    
29 Apr 2022 03:44:32.378    29 Apr 2022 03:51:28.980      416.60238445    
29 Apr 2022 05:21:59.239    29 Apr 2022 05:28:48.731      409.49208650    
29 Apr 2022 11:59:08.386    29 Apr 2022 12:05:15.443      367.05771913    
29 Apr 2022 13:35:52.777    29 Apr 2022 13:43:36.663      463.88572692    
30 Apr 2022 03:05:13.766    30 Apr 2022 03:11:02.647      348.88178296    
30 Apr 2022 04:41:39.277    30 Apr 2022 04:49:06.165      446.88805521    
30 Apr 2022 11:19:41.222    30 Apr 2022 11:24:31.352      290.13059540    
30 Apr 2022 12:55:47.108    30 Apr 2022 13:03:51.554      484.44622946    
01 May 2022 02:26:22.148    01 May 2022 02:30:09.233      227.08542023    
01 May 2022 04:01:27.283    01 May 2022 04:09:17.187      469.90363490    
01 May 2022 10:40:35.451    01 May 2022 10:43:19.532      164.08156073    
01 May 2022 12:15:46.895    01 May 2022 12:23:56.190      489.29542552    
02 May 2022 03:21:22.745    02 May 2022 03:29:22.046      479.30096750    
02 May 2022 05:02:12.382    02 May 2022 05:04:20.617      128.23502758    
02 May 2022 11:35:51.175    02 May 2022 11:43:51.250      480.07529536    
02 May 2022 13:15:00.246    02 May 2022 13:18:55.013      234.76710068    
03 May 2022 02:41:25.753    03 May 2022 02:49:20.380      474.62705118    
03 May 2022 04:20:50.975    03 May 2022 04:25:20.938      269.96325923    
03 May 2022 10:55:59.603    03 May 2022 11:03:36.792      457.18878640    
03 May 2022 12:34:04.557    03 May 2022 12:40:00.269      355.71224437    
04 May 2022 02:01:37.039    04 May 2022 02:09:11.185      454.14587801    
04 May 2022 03:40:01.243    04 May 2022 03:45:51.848      350.60501561    
04 May 2022 10:16:12.429    04 May 2022 10:23:12.286      419.85698672    
04 May 2022 11:53:33.513    04 May 2022 12:00:36.910      423.39677056    
05 May 2022 01:21:58.366    05 May 2022 01:28:52.424      414.05812082    
05 May 2022 02:59:25.152    05 May 2022 03:06:11.192      406.03963182    
05 May 2022 09:36:30.812    05 May 2022 09:42:36.311      365.49932730    
05 May 2022 11:13:14.234    05 May 2022 11:20:57.544      463.30962520    
06 May 2022 00:42:33.896    06 May 2022 00:48:19.670      345.77344669    
06 May 2022 02:18:58.697    06 May 2022 02:26:22.752      444.05548093    
06 May 2022 08:56:58.110    06 May 2022 09:01:45.265      287.15433885    
06 May 2022 10:33:02.471    06 May 2022 10:41:06.136      483.66538854    
07 May 2022 00:03:37.276    07 May 2022 00:07:19.008      221.73221709    
07 May 2022 01:38:40.363    07 May 2022 01:46:27.793      467.43003982    
07 May 2022 08:17:48.227    07 May 2022 08:20:25.045      156.81847179    
07 May 2022 09:52:56.256    07 May 2022 10:01:04.374      488.11802262    
08 May 2022 00:58:29.616    08 May 2022 01:06:26.588      476.97219537    
08 May 2022 02:39:20.405    08 May 2022 02:41:22.514      122.10852848    
08 May 2022 09:12:54.623    08 May 2022 09:20:52.939      478.31582807    
08 May 2022 10:52:01.612    08 May 2022 10:55:58.069      236.45700929    
09 May 2022 00:18:26.550    09 May 2022 00:26:18.774      472.22355605    
09 May 2022 01:57:50.929    09 May 2022 02:02:18.614      267.68535844    
09 May 2022 08:32:57.244    09 May 2022 08:40:31.878      454.63449435    
09 May 2022 10:11:00.257    09 May 2022 10:16:56.697      356.44027741    
09 May 2022 23:38:31.928    09 May 2022 23:46:03.320      451.39231846    
10 May 2022 01:16:54.651    10 May 2022 01:22:43.851      349.20061233    
10 May 2022 07:53:04.412    10 May 2022 08:00:00.627      416.21590653    
10 May 2022 09:30:23.417    10 May 2022 09:37:26.863      423.44615422    
10 May 2022 22:58:47.592    10 May 2022 23:05:38.120      410.52785274    
11 May 2022 00:36:12.305    11 May 2022 00:42:57.313      405.00821171    
11 May 2022 07:13:17.392    11 May 2022 07:19:17.664      360.27180303    
11 May 2022 08:49:58.364    11 May 2022 08:57:41.026      462.66241518    
11 May 2022 22:19:17.937    11 May 2022 22:24:58.519      340.58209956    
11 May 2022 23:55:39.767    12 May 2022 00:03:02.907      443.13969368    
12 May 2022 06:33:39.902    12 May 2022 06:38:19.044      279.14199012    
12 May 2022 08:09:40.885    12 May 2022 08:17:43.130      482.24452205    
12 May 2022 21:40:17.928    12 May 2022 21:43:49.294      211.36603255    
12 May 2022 23:15:15.501    12 May 2022 23:23:01.929      466.42740463    
13 May 2022 05:54:28.685    13 May 2022 05:56:47.834      139.14847956    
13 May 2022 07:29:29.034    13 May 2022 07:37:34.846      485.81209600    
13 May 2022 22:34:58.978    13 May 2022 22:42:54.655      475.67707471    
14 May 2022 00:15:45.543    14 May 2022 00:17:52.616      127.07265961    
14 May 2022 06:49:21.871    14 May 2022 06:57:16.843      474.97234074    
14 May 2022 08:28:24.164    14 May 2022 08:32:26.442      242.27745807    
14 May 2022 21:54:50.319    14 May 2022 22:02:40.705      470.38619175    
14 May 2022 23:34:11.333    14 May 2022 23:38:41.719      270.38601612    
15 May 2022 06:09:19.106    15 May 2022 06:16:49.138      450.03235645    
15 May 2022 07:47:18.553    15 May 2022 07:53:17.475      358.92232207    
15 May 2022 21:14:50.342    15 May 2022 21:22:19.001      448.65896066    
15 May 2022 22:53:09.522    15 May 2022 22:59:00.900      351.37823140    
16 May 2022 05:29:21.105    16 May 2022 05:36:11.102      409.99690359    
16 May 2022 07:06:36.687    16 May 2022 07:13:40.907      424.22054746    
16 May 2022 20:35:01.014    16 May 2022 20:41:47.316      406.30201881    
16 May 2022 22:12:21.663    16 May 2022 22:19:08.435      406.77151498    
17 May 2022 04:49:29.306    17 May 2022 04:55:21.049      351.74297841    
17 May 2022 06:26:06.483    17 May 2022 06:33:48.558      462.07531756    
17 May 2022 19:55:27.094    17 May 2022 20:01:00.637      333.54303846    
17 May 2022 21:31:43.715    17 May 2022 21:39:08.149      444.43388802    
18 May 2022 04:09:48.007    18 May 2022 04:14:14.459      266.45183974    
18 May 2022 05:45:43.861    18 May 2022 05:53:44.240      480.37945441    
18 May 2022 19:16:25.806    18 May 2022 19:19:41.484      195.67847525    
18 May 2022 20:51:14.175    18 May 2022 20:59:01.305      467.12925376    
19 May 2022 03:30:40.052    19 May 2022 03:32:28.302      108.25028446    
19 May 2022 05:05:26.931    19 May 2022 05:13:29.570      482.63839345    
19 May 2022 20:10:52.545    19 May 2022 20:18:48.145      475.60063553    
19 May 2022 21:51:29.903    19 May 2022 21:53:52.538      142.63506200    
20 May 2022 04:25:14.796    20 May 2022 04:33:05.168      470.37205892    
20 May 2022 06:04:10.158    20 May 2022 06:08:22.002      251.84416494    
20 May 2022 19:30:38.986    20 May 2022 19:38:28.243      469.25667854    
20 May 2022 21:09:54.177    20 May 2022 21:14:32.361      278.18446350    
21 May 2022 03:45:07.217    21 May 2022 03:52:30.995      443.77813350    
21 May 2022 05:23:01.681    21 May 2022 05:29:04.856      363.17479442    
21 May 2022 18:50:34.392    21 May 2022 18:58:00.435      446.04297832    
21 May 2022 20:28:48.025    21 May 2022 20:34:45.241      357.21565196    
22 May 2022 03:05:04.654    22 May 2022 03:11:46.318      401.66469075    
22 May 2022 04:42:15.642    22 May 2022 04:49:21.507      425.86487539    
22 May 2022 18:10:40.899    22 May 2022 18:17:22.317      401.41789976    
22 May 2022 19:47:55.538    22 May 2022 19:54:46.899      411.36134688    
23 May 2022 02:25:08.778    23 May 2022 02:30:49.210      340.43213180    
23 May 2022 04:01:40.971    23 May 2022 04:09:22.751      461.77975866    
23 May 2022 17:31:03.785    23 May 2022 17:36:28.338      324.55367142    
23 May 2022 19:07:12.946    23 May 2022 19:14:40.874      447.92715388    
24 May 2022 01:45:24.761    24 May 2022 01:49:34.262      249.50099312    
24 May 2022 03:21:13.799    24 May 2022 03:29:12.173      478.37351012    
24 May 2022 16:52:04.056    24 May 2022 16:54:57.225      173.16911328    
24 May 2022 18:26:38.838    24 May 2022 18:34:28.321      469.48320963    
25 May 2022 01:06:33.214    25 May 2022 01:07:20.670      47.455773829    
25 May 2022 02:40:52.322    25 May 2022 02:48:51.287      478.96455845    
25 May 2022 17:46:12.766    25 May 2022 17:54:09.414      476.64745896    
25 May 2022 19:26:37.411    25 May 2022 19:29:23.228      165.81685703    
26 May 2022 02:00:35.699    26 May 2022 02:08:20.640      464.94106532    
26 May 2022 03:39:22.325    26 May 2022 03:43:47.064      264.73961589    
26 May 2022 17:05:54.954    26 May 2022 17:13:43.644      468.69030381    
26 May 2022 18:45:02.079    26 May 2022 18:49:52.636      290.55648231    
27 May 2022 01:20:23.757    27 May 2022 01:27:40.106      436.34917843    
27 May 2022 02:58:12.025    27 May 2022 03:04:21.302      369.27713037    
27 May 2022 16:25:46.397    27 May 2022 16:33:09.731      443.33367428    
27 May 2022 18:03:52.563    27 May 2022 18:09:58.930      366.36644346    
28 May 2022 00:40:17.078    28 May 2022 00:46:48.812      391.73431154    
28 May 2022 02:17:22.451    28 May 2022 02:24:31.055      428.60369766    
28 May 2022 15:45:49.463    28 May 2022 15:52:25.015      395.55179800    
28 May 2022 17:22:56.150    28 May 2022 17:29:54.614      418.46411841    
29 May 2022 00:00:17.648    29 May 2022 00:05:44.496      326.84796879    
29 May 2022 01:36:43.773    29 May 2022 01:44:25.855      462.08114162    
29 May 2022 15:06:10.186    29 May 2022 15:11:23.175      312.98921745    
29 May 2022 16:42:09.488    29 May 2022 16:49:42.788      453.30032618    
29 May 2022 23:20:31.952    29 May 2022 23:24:20.422      228.46934296    
30 May 2022 00:56:12.402    30 May 2022 01:04:08.987      476.58467389    
30 May 2022 14:27:16.548    30 May 2022 14:29:35.938      139.39042435    
30 May 2022 16:01:31.304    30 May 2022 16:09:24.449      473.14497312    
31 May 2022 00:15:46.649    31 May 2022 00:23:41.831      475.18224078    
31 May 2022 15:21:01.236    31 May 2022 15:28:59.666      478.43051482    
31 May 2022 17:01:11.043    31 May 2022 17:04:24.493      193.44973527    
31 May 2022 23:35:25.749    31 May 2022 23:43:04.838      459.08878584    
01 Jun 2022 01:14:02.163    01 Jun 2022 01:18:42.889      280.72584230    
01 Jun 2022 14:40:39.596    01 Jun 2022 14:48:27.830      468.23389409    
01 Jun 2022 16:19:36.646    01 Jun 2022 16:24:43.201      306.55520424    
01 Jun 2022 22:55:09.621    01 Jun 2022 23:02:17.777      428.15631777    
02 Jun 2022 00:32:50.603    02 Jun 2022 00:39:08.015      377.41267767    
02 Jun 2022 14:00:27.527    02 Jun 2022 14:07:47.498      439.97103253    
02 Jun 2022 15:38:24.335    02 Jun 2022 15:44:42.515      378.18038121    
02 Jun 2022 22:14:59.008    02 Jun 2022 22:21:19.601      380.59286750    
02 Jun 2022 23:51:57.809    02 Jun 2022 23:59:10.528      432.71892378    
03 Jun 2022 13:20:27.729    03 Jun 2022 13:26:55.671      387.94134215    
03 Jun 2022 14:57:24.407    03 Jun 2022 15:04:31.916      427.50846968    
03 Jun 2022 21:34:56.328    03 Jun 2022 21:40:07.605      311.27744245    
03 Jun 2022 23:11:15.302    03 Jun 2022 23:18:58.598      463.29525600    
04 Jun 2022 12:40:47.374    04 Jun 2022 12:45:44.880      297.50619472    
04 Jun 2022 14:16:34.005    04 Jun 2022 14:24:13.998      459.99273009    
04 Jun 2022 20:55:10.109    04 Jun 2022 20:58:33.011      202.90245633    
04 Jun 2022 22:30:39.830    04 Jun 2022 22:38:35.166      475.33545831    
05 Jun 2022 12:02:12.137    05 Jun 2022 12:03:29.157      77.019824018    
05 Jun 2022 13:35:52.039    05 Jun 2022 13:43:49.570      477.53008939    
05 Jun 2022 21:50:09.853    05 Jun 2022 21:58:01.456      471.60364233    
05 Jun 2022 23:30:18.861    05 Jun 2022 23:31:53.546      94.685628859    
06 Jun 2022 12:55:18.266    06 Jun 2022 13:03:18.581      480.31517443    
06 Jun 2022 14:35:11.929    06 Jun 2022 14:38:55.136      223.20691897    
06 Jun 2022 21:09:44.710    06 Jun 2022 21:17:17.812      453.10232729    
06 Jun 2022 22:48:09.699    06 Jun 2022 22:53:09.309      299.61012932    
07 Jun 2022 12:14:53.123    07 Jun 2022 12:22:40.294      467.17109308    
07 Jun 2022 13:53:38.275    07 Jun 2022 13:59:03.312      325.03707757    
07 Jun 2022 20:29:24.440    07 Jun 2022 20:36:23.883      419.44303490    
07 Jun 2022 22:06:57.128    07 Jun 2022 22:13:24.844      387.71617867    
08 Jun 2022 11:34:37.963    08 Jun 2022 11:41:53.063      435.10013163    
08 Jun 2022 13:12:23.500    08 Jun 2022 13:18:55.298      391.79766553    
08 Jun 2022 19:49:10.005    08 Jun 2022 19:55:18.409      368.40352222    
08 Jun 2022 21:26:01.294    08 Jun 2022 21:33:19.701      438.40665068    
09 Jun 2022 10:54:35.967    09 Jun 2022 11:00:53.410      377.44353994    
09 Jun 2022 12:31:20.375    09 Jun 2022 12:38:38.098      437.72315509    
09 Jun 2022 19:09:04.421    09 Jun 2022 19:13:58.094      293.67243082    
09 Jun 2022 20:45:15.077    09 Jun 2022 20:53:00.697      465.61988003    
10 Jun 2022 10:14:56.114    10 Jun 2022 10:19:32.068      275.95363799    
10 Jun 2022 11:50:26.549    10 Jun 2022 11:58:13.803      467.25484935    
10 Jun 2022 18:29:19.637    10 Jun 2022 18:32:10.749      171.11128868    
10 Jun 2022 20:04:35.599    10 Jun 2022 20:12:30.400      474.80071813    
