Target: HSEYE7

Observer: Bahrain
Start Time (UTC)            Stop Time (UTC)               Duration (s)         
27 Apr 2022 14:53:28.120    27 Apr 2022 15:00:03.619      395.49924787    
27 Apr 2022 16:30:35.751    27 Apr 2022 16:37:59.509      443.75761586    
27 Apr 2022 23:09:01.846    27 Apr 2022 23:14:47.164      345.31770836    
28 Apr 2022 00:45:45.198    28 Apr 2022 00:53:44.535      479.33752307    
28 Apr 2022 14:17:08.342    28 Apr 2022 14:22:35.586      327.24350168    
28 Apr 2022 15:53:22.778    28 Apr 2022 16:01:10.903      468.12506032    
28 Apr 2022 22:32:30.729    28 Apr 2022 22:37:07.150      276.42086414    
29 Apr 2022 00:08:42.071    29 Apr 2022 00:16:53.712      491.64086172    
29 Apr 2022 13:41:11.596    29 Apr 2022 13:44:43.950      212.35381197    
29 Apr 2022 15:16:14.578    29 Apr 2022 15:24:18.050      483.47138971    
29 Apr 2022 21:56:15.216    29 Apr 2022 21:59:06.819      171.60271034    
29 Apr 2022 23:31:42.069    29 Apr 2022 23:39:56.061      493.99194909    
30 Apr 2022 14:39:11.003    30 Apr 2022 14:47:20.947      489.94479115    
30 Apr 2022 16:20:01.653    30 Apr 2022 16:22:45.598      163.94574529    
30 Apr 2022 22:54:44.728    30 Apr 2022 23:02:51.879      487.15094347    
01 May 2022 00:34:16.316    01 May 2022 00:37:57.669      221.35231791    
01 May 2022 14:02:12.137    01 May 2022 14:10:19.355      487.21794075    
01 May 2022 15:41:58.713    01 May 2022 15:46:29.607      270.89452806    
01 May 2022 22:17:49.839    01 May 2022 22:25:41.210      471.37055512    
01 May 2022 23:56:23.877    02 May 2022 00:01:57.015      333.13743282    
02 May 2022 13:25:18.331    02 May 2022 13:33:12.770      474.43927779    
02 May 2022 15:04:15.019    02 May 2022 15:09:55.420      340.40022787    
02 May 2022 21:40:57.432    02 May 2022 21:48:23.860      446.42858495    
02 May 2022 23:18:52.214    02 May 2022 23:25:32.515      400.30107979    
03 May 2022 12:48:30.304    03 May 2022 12:56:00.315      450.01152606    
03 May 2022 14:26:40.944    03 May 2022 14:33:12.569      391.62432798    
03 May 2022 21:04:07.835    03 May 2022 21:10:59.342      411.50697574    
03 May 2022 22:41:30.450    03 May 2022 22:48:54.890      444.44037247    
04 May 2022 12:11:49.439    04 May 2022 12:18:40.458      411.01917287    
04 May 2022 13:49:13.663    04 May 2022 13:56:23.763      430.09958700    
04 May 2022 20:27:21.885    04 May 2022 20:33:26.675      364.78943186    
04 May 2022 22:04:14.887    04 May 2022 22:12:07.676      472.78905603    
05 May 2022 11:35:18.587    05 May 2022 11:41:10.195      351.60742040    
05 May 2022 13:11:51.950    05 May 2022 13:19:30.101      458.15181710    
05 May 2022 19:50:41.539    05 May 2022 19:55:43.767      302.22843073    
05 May 2022 21:27:03.736    05 May 2022 21:35:12.506      488.77067197    
06 May 2022 10:59:05.333    06 May 2022 11:03:21.798      256.46495561    
06 May 2022 12:34:35.211    06 May 2022 12:42:32.038      476.82658631    
06 May 2022 19:14:12.482    06 May 2022 19:17:44.822      212.33960307    
06 May 2022 20:49:55.998    06 May 2022 20:58:10.219      494.22121133    
07 May 2022 11:57:23.206    07 May 2022 12:05:29.676      486.46951737    
07 May 2022 13:38:50.045    07 May 2022 13:40:23.242      93.196370755    
07 May 2022 20:12:51.104    07 May 2022 20:21:01.229      490.12459712    
07 May 2022 21:52:51.845    07 May 2022 21:55:33.069      161.22391303    
08 May 2022 11:20:15.946    08 May 2022 11:28:22.858      486.91172227    
08 May 2022 13:00:21.172    08 May 2022 13:04:19.126      237.95413643    
08 May 2022 19:35:48.769    08 May 2022 19:43:45.664      476.89532776    
08 May 2022 21:14:37.419    08 May 2022 21:19:41.784      304.36519745    
09 May 2022 10:43:13.702    09 May 2022 10:51:11.173      477.47107587    
09 May 2022 12:22:25.437    09 May 2022 12:27:42.999      317.56188772    
09 May 2022 18:58:48.955    09 May 2022 19:06:23.415      454.45953050    
09 May 2022 20:36:54.143    09 May 2022 20:43:16.334      382.19103827    
10 May 2022 10:06:17.082    10 May 2022 10:13:53.872      456.78966553    
10 May 2022 11:44:41.510    10 May 2022 11:50:56.116      374.60553293    
10 May 2022 18:21:51.908    10 May 2022 18:28:54.091      422.18241227    
10 May 2022 19:59:23.026    10 May 2022 20:06:35.561      432.53517654    
11 May 2022 09:29:27.258    11 May 2022 09:36:29.645      422.38732466    
11 May 2022 11:07:05.240    11 May 2022 11:14:02.536      417.29593329    
11 May 2022 17:44:58.312    11 May 2022 17:51:16.872      378.56023042    
11 May 2022 19:21:59.093    11 May 2022 19:29:44.302      465.20890013    
12 May 2022 08:52:46.569    12 May 2022 08:58:56.019      369.44939985    
12 May 2022 10:29:34.997    12 May 2022 10:37:03.780      448.78301922    
12 May 2022 17:08:09.758    12 May 2022 17:13:30.049      320.29140702    
12 May 2022 18:44:40.121    12 May 2022 18:52:44.632      484.51123520    
13 May 2022 08:16:20.678    13 May 2022 08:21:07.196      286.51786511    
13 May 2022 09:52:10.016    13 May 2022 10:00:00.490      470.47423474    
