Target: HSEYE12

Observer: Bahrain
Start Time (UTC)            Stop Time (UTC)               Duration (s)         
27 Apr 2022 22:25:35.075    27 Apr 2022 22:33:46.396      491.32118651    
28 Apr 2022 00:06:37.294    28 Apr 2022 00:08:54.595      137.30161143    
28 Apr 2022 06:40:55.511    28 Apr 2022 06:49:00.173      484.66159429    
28 Apr 2022 08:20:29.618    28 Apr 2022 08:23:54.365      204.74671433    
28 Apr 2022 21:47:49.127    28 Apr 2022 21:55:58.773      489.64532178    
28 Apr 2022 23:27:37.554    28 Apr 2022 23:32:00.936      263.38250509    
29 Apr 2022 06:03:14.481    29 Apr 2022 06:11:02.724      468.24307448    
29 Apr 2022 07:41:44.750    29 Apr 2022 07:47:14.023      329.27292609    
29 Apr 2022 21:10:08.969    29 Apr 2022 21:18:05.621      476.65134680    
29 Apr 2022 22:49:03.440    29 Apr 2022 22:54:43.031      339.59126431    
30 Apr 2022 05:25:36.384    30 Apr 2022 05:32:57.754      441.36994870    
30 Apr 2022 07:03:24.764    30 Apr 2022 07:10:05.495      400.73098750    
30 Apr 2022 20:32:35.453    30 Apr 2022 20:40:05.937      450.48374520    
30 Apr 2022 22:10:40.689    30 Apr 2022 22:17:15.063      394.37434858    
01 May 2022 04:48:01.676    01 May 2022 04:54:44.652      402.97616335    
01 May 2022 06:25:15.925    01 May 2022 06:32:42.357      446.43181617    
01 May 2022 19:55:10.271    01 May 2022 20:01:57.878      407.60738131    
01 May 2022 21:32:25.781    01 May 2022 21:39:40.445      434.66343333    
02 May 2022 04:10:31.522    02 May 2022 04:16:22.106      350.58420376    
02 May 2022 05:47:13.970    02 May 2022 05:55:08.713      474.74244107    
02 May 2022 19:17:57.112    02 May 2022 19:23:37.608      340.49592647    
02 May 2022 20:54:17.281    02 May 2022 21:02:00.484      463.20291341    
03 May 2022 03:33:08.865    03 May 2022 03:37:47.043      278.17802872    
03 May 2022 05:09:16.914    03 May 2022 05:17:26.387      489.47314408    
03 May 2022 18:41:07.172    03 May 2022 18:44:53.777      226.60512618    
03 May 2022 20:16:14.535    03 May 2022 20:24:15.693      481.15798600    
04 May 2022 02:56:04.443    04 May 2022 02:58:48.616      164.17336520    
04 May 2022 04:31:23.687    04 May 2022 04:39:36.279      492.59238165    
04 May 2022 19:38:17.309    04 May 2022 19:46:26.149      488.83937539    
04 May 2022 21:19:10.996    04 May 2022 21:21:39.624      148.62883041    
05 May 2022 03:53:33.714    05 May 2022 04:01:38.794      485.07967629    
05 May 2022 05:32:57.463    05 May 2022 05:36:43.951      226.48801255    
05 May 2022 19:00:25.695    05 May 2022 19:08:31.603      485.90754188    
05 May 2022 20:40:07.863    05 May 2022 20:44:36.757      268.89421139    
06 May 2022 03:15:46.762    06 May 2022 03:23:33.990      467.22716046    
06 May 2022 04:54:10.847    06 May 2022 04:59:52.320      341.47308748    
06 May 2022 18:22:40.129    06 May 2022 18:30:31.453      471.32354773    
06 May 2022 20:01:28.513    06 May 2022 20:07:11.699      343.18625964    
07 May 2022 02:38:02.922    07 May 2022 02:45:21.602      438.67952311    
07 May 2022 04:15:46.291    07 May 2022 04:22:35.452      409.16132173    
07 May 2022 17:45:01.556    07 May 2022 17:52:24.586      443.03006844    
07 May 2022 19:23:00.325    07 May 2022 19:29:36.971      396.64656299    
08 May 2022 02:00:22.716    08 May 2022 02:07:00.938      398.22161951    
08 May 2022 03:37:32.305    08 May 2022 03:45:04.666      452.36078377    
08 May 2022 17:07:31.877    08 May 2022 17:14:08.928      397.05131776    
08 May 2022 18:44:39.986    08 May 2022 18:51:55.752      435.76550345    
09 May 2022 01:22:47.469    09 May 2022 01:28:30.508      343.03922105    
09 May 2022 02:59:25.020    09 May 2022 03:07:23.651      478.63146581    
09 May 2022 16:30:15.404    09 May 2022 16:35:39.995      324.59062901    
09 May 2022 18:06:26.125    09 May 2022 18:14:09.260      463.13495776    
10 May 2022 00:45:20.642    10 May 2022 00:49:46.705      266.06329075    
10 May 2022 02:21:22.580    10 May 2022 02:29:34.077      491.49780306    
10 May 2022 15:53:26.890    10 May 2022 15:56:42.860      195.96922724    
10 May 2022 17:28:18.118    10 May 2022 17:36:17.950      479.83195970    
11 May 2022 00:08:16.691    11 May 2022 00:10:34.947      138.25556170    
11 May 2022 01:43:23.977    11 May 2022 01:51:36.760      492.78355505    
11 May 2022 16:50:15.759    11 May 2022 16:58:21.847      486.08765682    
11 May 2022 18:30:57.650    11 May 2022 18:33:42.892      165.24207703    
12 May 2022 01:05:28.675    12 May 2022 01:13:32.042      483.36694512    
12 May 2022 02:44:39.780    12 May 2022 02:48:51.055      251.27436033    
12 May 2022 16:12:19.175    12 May 2022 16:20:20.637      481.46226606    
12 May 2022 17:51:52.668    12 May 2022 17:56:30.305      277.63746354    
13 May 2022 00:27:36.478    13 May 2022 00:35:19.918      463.43985671    
13 May 2022 02:05:52.441    13 May 2022 02:11:47.866      355.42498387    
13 May 2022 15:34:28.867    13 May 2022 15:42:13.628      464.76021957    
13 May 2022 17:13:08.956    13 May 2022 17:18:58.102      349.14567964    
13 May 2022 23:49:47.536    13 May 2022 23:57:00.045      432.50964170    
14 May 2022 01:27:24.168    14 May 2022 01:34:22.424      418.25615867    
14 May 2022 14:56:45.914    14 May 2022 15:03:59.549      433.63479559    
14 May 2022 16:34:35.968    14 May 2022 16:41:16.698      400.73032302    
14 May 2022 23:12:02.483    14 May 2022 23:18:31.597      389.11444010    
15 May 2022 00:49:05.677    15 May 2022 00:56:43.819      458.14124490    
15 May 2022 14:19:12.533    15 May 2022 14:25:35.993      383.46006962    
15 May 2022 15:56:10.696    15 May 2022 16:03:28.942      438.24587655    
15 May 2022 22:34:22.924    15 May 2022 22:39:52.788      329.86416144    
16 May 2022 00:10:53.555    16 May 2022 00:18:55.262      481.70656983    
16 May 2022 13:41:54.035    16 May 2022 13:46:57.453      303.41838982    
16 May 2022 15:17:51.872    16 May 2022 15:25:35.930      464.05825509    
16 May 2022 21:56:53.297    16 May 2022 22:00:59.020      245.72302691    
16 May 2022 23:32:46.115    16 May 2022 23:40:58.237      492.12233227    
17 May 2022 13:05:12.823    17 May 2022 13:07:41.336      148.51309854    
17 May 2022 14:39:38.926    17 May 2022 14:47:38.041      479.11503729    
17 May 2022 21:19:58.966    17 May 2022 21:21:24.798      85.831610172    
17 May 2022 22:54:42.435    17 May 2022 23:02:53.459      491.02409970    
18 May 2022 00:35:43.267    18 May 2022 00:36:11.685      28.418164293    
18 May 2022 14:01:31.702    18 May 2022 14:09:35.236      483.53427473    
18 May 2022 15:41:58.947    18 May 2022 15:45:05.822      186.87543635    
18 May 2022 22:16:42.042    18 May 2022 22:24:41.195      479.15299034    
18 May 2022 23:55:39.098    19 May 2022 00:00:16.008      276.91022039    
19 May 2022 13:23:30.392    19 May 2022 13:31:27.129      476.73762770    
19 May 2022 15:02:52.797    19 May 2022 15:07:42.909      290.11193634    
19 May 2022 21:38:44.807    19 May 2022 21:46:21.367      456.56017447    
19 May 2022 23:16:51.058    19 May 2022 23:23:01.118      370.05964631    
20 May 2022 12:45:35.602    20 May 2022 12:53:12.916      457.31435370    
20 May 2022 14:24:05.123    20 May 2022 14:30:03.139      358.01603110    
20 May 2022 21:00:50.977    20 May 2022 21:07:53.530      422.55276268    
20 May 2022 22:38:19.306    20 May 2022 22:45:26.658      427.35202879    
21 May 2022 12:07:48.612    21 May 2022 12:14:51.125      422.51275994    
21 May 2022 13:45:27.574    21 May 2022 13:52:14.726      407.15220122    
21 May 2022 20:23:01.378    21 May 2022 20:29:16.669      375.29163833    
21 May 2022 21:59:56.476    21 May 2022 22:07:39.798      463.32175769    
22 May 2022 11:30:12.117    22 May 2022 11:36:18.868      366.75164807    
22 May 2022 13:06:57.535    22 May 2022 13:14:20.124      442.58919846    
22 May 2022 19:45:18.091    22 May 2022 19:50:28.531      310.44005323    
22 May 2022 21:21:39.629    22 May 2022 21:29:43.280      483.65102626    
23 May 2022 10:52:53.097    23 May 2022 10:57:28.981      275.88378667    
23 May 2022 12:28:33.883    23 May 2022 12:36:20.284      466.40074955    
23 May 2022 19:07:47.446    23 May 2022 19:11:22.640      215.19369171    
23 May 2022 20:43:27.273    23 May 2022 20:51:38.398      491.12491010    
24 May 2022 10:16:42.810    24 May 2022 10:17:30.023      47.212972201    
24 May 2022 11:50:16.140    24 May 2022 11:58:15.505      479.36458269    
24 May 2022 20:05:18.600    24 May 2022 20:13:25.762      487.16203964    
24 May 2022 21:45:23.099    24 May 2022 21:47:42.277      139.17796353    
25 May 2022 11:12:04.227    25 May 2022 11:20:05.677      481.45010497    
25 May 2022 12:52:14.295    25 May 2022 12:55:47.533      213.23836888    
25 May 2022 19:27:13.226    25 May 2022 19:35:05.561      472.33530264    
25 May 2022 21:05:55.231    25 May 2022 21:10:57.778      302.54694640    
26 May 2022 10:33:58.434    26 May 2022 10:41:50.330      471.89573081    
26 May 2022 12:13:07.303    26 May 2022 12:18:13.938      306.63423470    
26 May 2022 18:49:11.120    26 May 2022 18:56:37.632      446.51139417    
26 May 2022 20:27:06.299    26 May 2022 20:33:31.219      384.91937510    
27 May 2022 09:55:59.518    27 May 2022 10:03:28.519      449.00045511    
27 May 2022 11:34:16.085    27 May 2022 11:40:26.218      370.13372619    
27 May 2022 18:11:12.678    27 May 2022 18:18:01.395      408.71711554    
27 May 2022 19:48:31.252    27 May 2022 19:55:47.469      436.21662345    
28 May 2022 09:18:09.050    28 May 2022 09:24:58.495      409.44464944    
28 May 2022 10:55:34.347    28 May 2022 11:02:30.537      416.18997847    
28 May 2022 17:33:19.016    28 May 2022 17:39:15.562      356.54589065    
28 May 2022 19:10:04.315    28 May 2022 19:17:52.116      467.80128259    
29 May 2022 08:40:30.452    29 May 2022 08:46:16.658      346.20622447    
29 May 2022 10:16:59.918    29 May 2022 10:24:28.913      448.99508965    
29 May 2022 16:55:33.017    29 May 2022 17:00:17.094      284.07674509    
29 May 2022 18:31:43.005    29 May 2022 18:39:47.459      484.45390173    
30 May 2022 08:03:13.700    30 May 2022 08:07:12.857      239.15753402    
30 May 2022 09:38:31.854    30 May 2022 09:46:22.129      470.27513101    
30 May 2022 16:18:05.119    30 May 2022 16:20:55.425      170.30641381    
30 May 2022 17:53:26.033    30 May 2022 18:01:34.596      488.56306585    
31 May 2022 09:00:09.782    31 May 2022 09:08:10.380      480.59829595    
31 May 2022 10:41:31.387    31 May 2022 10:42:54.490      83.103367640    
31 May 2022 17:15:12.714    31 May 2022 17:23:14.023      481.30899605    
31 May 2022 18:54:45.554    31 May 2022 18:58:04.812      199.25762502    
01 Jun 2022 08:21:53.724    01 Jun 2022 08:29:53.470      479.74581616    
01 Jun 2022 10:01:44.601    01 Jun 2022 10:05:47.944      243.34356511    
01 Jun 2022 16:37:02.767    01 Jun 2022 16:44:45.833      463.06551191    
01 Jun 2022 18:15:29.049    01 Jun 2022 18:20:56.857      327.80737096    
02 Jun 2022 07:43:44.090    02 Jun 2022 07:51:30.808      466.71770148    
02 Jun 2022 09:22:37.123    02 Jun 2022 09:28:03.951      326.82749138    
02 Jun 2022 15:58:56.284    02 Jun 2022 16:06:09.747      433.46250630    
02 Jun 2022 17:36:39.288    02 Jun 2022 17:43:19.076      399.78790144    
03 Jun 2022 07:05:41.836    03 Jun 2022 07:13:01.257      439.42072842    
03 Jun 2022 08:43:43.058    03 Jun 2022 08:50:08.300      385.24277847    
03 Jun 2022 15:20:53.856    03 Jun 2022 15:27:24.992      391.13655025    
03 Jun 2022 16:58:01.378    03 Jun 2022 17:05:26.179      444.80055930    
04 Jun 2022 06:27:48.938    04 Jun 2022 06:34:22.660      393.72236434    
04 Jun 2022 08:04:57.836    04 Jun 2022 08:12:05.423      427.58673413    
04 Jun 2022 14:42:57.033    04 Jun 2022 14:48:29.848      332.81482877    
04 Jun 2022 16:19:30.827    04 Jun 2022 16:27:22.470      471.64359887    
05 Jun 2022 05:50:09.960    05 Jun 2022 05:55:30.274      320.31409097    
05 Jun 2022 07:26:19.727    05 Jun 2022 07:33:56.894      457.16682037    
05 Jun 2022 14:05:10.108    05 Jun 2022 14:09:19.871      249.76308527    
05 Jun 2022 15:41:05.565    05 Jun 2022 15:49:09.828      484.26293767    
06 Jun 2022 05:13:01.220    06 Jun 2022 05:16:07.599      186.37911631    
06 Jun 2022 06:47:47.970    06 Jun 2022 06:55:43.297      475.32722403    
06 Jun 2022 13:27:56.233    06 Jun 2022 13:29:31.783      95.549999422    
06 Jun 2022 15:02:44.499    06 Jun 2022 15:10:49.149      484.64910913    
07 Jun 2022 06:09:22.312    07 Jun 2022 06:17:24.702      482.39039263    
07 Jun 2022 07:50:04.386    07 Jun 2022 07:52:40.928      156.54207267    
07 Jun 2022 14:24:27.069    07 Jun 2022 14:32:20.793      473.72385878    
07 Jun 2022 16:03:33.502    07 Jun 2022 16:07:41.364      247.86154660    
08 Jun 2022 05:31:02.885    08 Jun 2022 05:39:00.789      477.90351952    
08 Jun 2022 07:10:33.125    08 Jun 2022 07:15:08.778      275.65303361    
08 Jun 2022 13:46:13.104    08 Jun 2022 13:53:44.730      451.62569673    
08 Jun 2022 15:24:23.305    08 Jun 2022 15:30:15.741      352.43636034    
09 Jun 2022 04:52:50.250    09 Jun 2022 05:00:30.804      460.55395404    
09 Jun 2022 06:31:25.401    09 Jun 2022 06:37:15.038      349.63664679    
09 Jun 2022 13:08:02.843    09 Jun 2022 13:15:00.521      417.67820811    
09 Jun 2022 14:45:32.809    09 Jun 2022 14:52:27.339      414.52966291    
10 Jun 2022 04:14:45.626    10 Jun 2022 04:21:53.331      427.70475206    
10 Jun 2022 05:52:29.144    10 Jun 2022 05:59:11.647      402.50290758    
10 Jun 2022 12:29:57.148    10 Jun 2022 12:36:07.113      369.96504626    
10 Jun 2022 14:06:52.426    10 Jun 2022 14:14:25.547      453.12086596    
11 Jun 2022 03:36:51.593    11 Jun 2022 03:43:05.599      374.00600861    
11 Jun 2022 05:13:41.111    11 Jun 2022 05:21:01.691      440.58074243    
11 Jun 2022 11:51:58.252    11 Jun 2022 11:57:02.088      303.83627411    
11 Jun 2022 13:28:18.675    11 Jun 2022 13:36:13.643      474.96780666    
12 Jun 2022 02:59:14.689    12 Jun 2022 03:04:00.871      286.18253795    
12 Jun 2022 04:34:59.967    12 Jun 2022 04:42:46.326      466.35929999    
12 Jun 2022 11:14:13.253    12 Jun 2022 11:17:38.193      204.94060535    
12 Jun 2022 12:49:49.855    12 Jun 2022 12:57:53.117      483.26257062    
13 Jun 2022 02:22:32.716    13 Jun 2022 02:24:01.152      88.436094951    
13 Jun 2022 03:56:25.142    13 Jun 2022 04:04:25.931      480.78978461    
13 Jun 2022 12:11:25.060    13 Jun 2022 12:19:24.664      479.60371776    
13 Jun 2022 13:51:41.391    13 Jun 2022 13:53:26.106      104.71503596    
14 Jun 2022 03:17:56.514    14 Jun 2022 03:26:00.430      483.91630909    
14 Jun 2022 04:58:07.504    14 Jun 2022 05:01:39.753      212.24852029    
14 Jun 2022 11:33:03.863    14 Jun 2022 11:40:48.498      464.63487513    
14 Jun 2022 13:11:46.615    14 Jun 2022 13:16:36.940      290.32496765    
15 Jun 2022 02:39:34.354    15 Jun 2022 02:47:29.350      474.99629046    
15 Jun 2022 04:18:42.814    15 Jun 2022 04:23:51.474      308.66006295    
15 Jun 2022 10:54:46.226    15 Jun 2022 11:02:04.441      438.21437432    
15 Jun 2022 12:32:40.153    15 Jun 2022 12:38:56.507      376.35354636    
16 Jun 2022 02:01:19.426    16 Jun 2022 02:08:51.725      452.29902340    
16 Jun 2022 03:39:34.757    16 Jun 2022 03:45:48.516      373.75935246    
16 Jun 2022 10:16:32.588    16 Jun 2022 10:23:11.850      399.26115446    
16 Jun 2022 11:53:48.758    16 Jun 2022 12:00:57.850      429.09247305    
17 Jun 2022 01:23:13.341    17 Jun 2022 01:30:05.743      412.40256565    
17 Jun 2022 03:00:36.637    17 Jun 2022 03:07:37.427      420.79015343    
17 Jun 2022 09:38:24.215    17 Jun 2022 09:44:09.260      345.04522600    
17 Jun 2022 11:15:05.990    17 Jun 2022 11:22:47.201      461.21055189    
18 Jun 2022 00:45:19.650    18 Jun 2022 00:51:07.651      348.00093316    
18 Jun 2022 02:21:46.183    18 Jun 2022 02:29:20.309      454.12620432    
18 Jun 2022 09:00:24.522    18 Jun 2022 09:04:53.079      268.55666419    
18 Jun 2022 10:36:29.171    18 Jun 2022 10:44:27.027      477.85537021    
19 Jun 2022 00:07:48.908    19 Jun 2022 00:11:46.700      237.79224332    
19 Jun 2022 01:43:02.413    19 Jun 2022 01:50:57.957      475.54385054    
19 Jun 2022 08:22:47.806    19 Jun 2022 08:25:08.856      141.05059312    
19 Jun 2022 09:57:56.933    19 Jun 2022 10:05:58.482      481.54827382    
20 Jun 2022 01:04:24.951    20 Jun 2022 01:12:30.557      485.60553028    
20 Jun 2022 02:45:28.883    20 Jun 2022 02:47:28.923      120.04037749    
20 Jun 2022 09:19:28.562    20 Jun 2022 09:27:22.067      473.50493300    
20 Jun 2022 10:58:55.305    20 Jun 2022 11:02:17.536      202.23134500    
21 Jun 2022 00:25:53.831    21 Jun 2022 00:33:57.874      484.04301675    
21 Jun 2022 02:05:36.432    21 Jun 2022 02:09:57.009      260.57685935    
21 Jun 2022 08:41:03.781    21 Jun 2022 08:48:37.849      454.06807247    
21 Jun 2022 10:19:24.581    21 Jun 2022 10:24:53.324      328.74316979    
21 Jun 2022 23:47:29.508    21 Jun 2022 23:55:19.257      469.74884545    
22 Jun 2022 01:26:15.059    22 Jun 2022 01:31:56.111      341.05184153    
22 Jun 2022 08:02:42.725    22 Jun 2022 08:09:45.481      422.75560589    
22 Jun 2022 09:40:20.213    22 Jun 2022 09:46:59.728      399.51523362    
22 Jun 2022 23:09:13.039    22 Jun 2022 23:16:33.452      440.41249123    
23 Jun 2022 00:47:06.505    23 Jun 2022 00:53:44.368      397.86234641    
23 Jun 2022 07:24:26.114    23 Jun 2022 07:30:44.047      377.93283396    
23 Jun 2022 09:01:27.689    23 Jun 2022 09:08:51.061      443.37181309    
23 Jun 2022 22:31:06.640    23 Jun 2022 22:37:38.049      391.40954716    
24 Jun 2022 00:08:06.768    24 Jun 2022 00:15:25.632      438.86381288    
24 Jun 2022 06:46:15.855    24 Jun 2022 06:51:31.455      315.59983715    
24 Jun 2022 08:22:42.577    24 Jun 2022 08:30:31.552      468.97554919    
24 Jun 2022 21:53:15.613    24 Jun 2022 21:58:27.557      311.94408570    
24 Jun 2022 23:29:14.280    24 Jun 2022 23:37:01.307      467.02723636    
