Target: HSEYE11

Observer: Bahrain
Start Time (UTC)            Stop Time (UTC)               Duration (s)         
27 Apr 2022 20:58:42.243    27 Apr 2022 21:06:55.788      493.54443185    
27 Apr 2022 22:39:02.090    27 Apr 2022 22:42:45.604      223.51448211    
28 Apr 2022 05:14:32.642    28 Apr 2022 05:22:30.115      477.47323809    
28 Apr 2022 06:53:32.293    28 Apr 2022 06:58:16.586      284.29330245    
28 Apr 2022 20:22:16.617    28 Apr 2022 20:30:23.528      486.91091227    
28 Apr 2022 22:01:42.802    28 Apr 2022 22:06:49.511      306.70896146    
29 Apr 2022 04:38:10.245    29 Apr 2022 04:45:47.927      457.68271509    
29 Apr 2022 06:16:25.079    29 Apr 2022 06:22:31.874      366.79531485    
29 Apr 2022 19:45:55.949    29 Apr 2022 19:53:46.279      470.33007627    
29 Apr 2022 21:24:35.937    29 Apr 2022 21:30:41.919      365.98258131    
30 Apr 2022 04:01:50.293    30 Apr 2022 04:08:59.266      428.97239034    
30 Apr 2022 05:39:30.831    30 Apr 2022 05:46:31.232      420.40106569    
30 Apr 2022 19:09:41.092    30 Apr 2022 19:17:03.079      441.98693734    
30 Apr 2022 20:47:36.750    30 Apr 2022 20:54:27.507      410.75748870    
01 May 2022 03:25:33.300    01 May 2022 03:32:03.505      390.20513651    
01 May 2022 05:02:43.976    01 May 2022 05:10:20.116      456.13961499    
01 May 2022 18:33:33.646    01 May 2022 18:40:12.219      398.57286641    
01 May 2022 20:10:43.443    01 May 2022 20:18:07.990      444.54649617    
02 May 2022 02:49:20.409    02 May 2022 02:54:59.397      338.98815484    
02 May 2022 04:26:02.129    02 May 2022 04:34:00.792      478.66310572    
02 May 2022 17:57:36.986    02 May 2022 18:03:10.213      333.22726618    
02 May 2022 19:33:55.165    02 May 2022 19:41:44.121      468.95591448    
03 May 2022 02:13:14.358    03 May 2022 02:17:44.105      269.74731353    
03 May 2022 03:49:24.022    03 May 2022 03:57:34.402      490.38001687    
03 May 2022 17:22:00.960    03 May 2022 17:25:47.095      226.13515727    
03 May 2022 18:57:11.499    03 May 2022 19:05:16.207      484.70760559    
04 May 2022 01:37:24.667    04 May 2022 01:40:08.028      163.36058043    
04 May 2022 03:12:48.923    04 May 2022 03:21:01.549      492.62633653    
04 May 2022 18:20:32.297    04 May 2022 18:28:44.281      491.98378853    
04 May 2022 20:01:34.236    04 May 2022 20:04:01.640      147.40308048    
05 May 2022 02:36:16.414    05 May 2022 02:44:22.517      486.10324119    
05 May 2022 04:15:52.777    05 May 2022 04:19:24.608      211.83056622    
05 May 2022 17:43:57.622    05 May 2022 17:52:08.154      490.53226691    
05 May 2022 19:23:52.967    05 May 2022 19:28:13.949      260.98174739    
06 May 2022 01:59:46.309    06 May 2022 02:07:37.357      471.04813495    
06 May 2022 03:38:24.296    06 May 2022 03:43:49.974      325.67810991    
06 May 2022 17:07:27.768    06 May 2022 17:15:27.406      479.63800204    
06 May 2022 18:46:33.165    06 May 2022 18:52:05.927      332.76203410    
07 May 2022 01:23:18.635    07 May 2022 01:30:45.900      447.26432178    
07 May 2022 03:01:17.256    07 May 2022 03:07:51.111      393.85465026    
07 May 2022 16:31:03.342    07 May 2022 16:38:41.296      457.95424758    
07 May 2022 18:09:23.376    07 May 2022 18:15:48.950      385.57435262    
08 May 2022 00:46:53.693    08 May 2022 00:53:47.710      414.01778710    
08 May 2022 02:24:20.258    08 May 2022 02:31:39.278      439.01980334    
08 May 2022 15:54:45.481    08 May 2022 16:01:48.552      423.07147089    
08 May 2022 17:32:20.490    08 May 2022 17:39:26.030      425.53945439    
09 May 2022 00:10:32.218    09 May 2022 00:16:41.916      369.69821162    
09 May 2022 01:47:29.533    09 May 2022 01:55:18.106      468.57353782    
09 May 2022 15:18:36.426    09 May 2022 15:24:46.798      370.37190761    
09 May 2022 16:55:23.177    09 May 2022 17:02:58.380      455.20292348    
09 May 2022 23:34:15.893    09 May 2022 23:39:26.712      310.81957743    
10 May 2022 01:10:43.265    10 May 2022 01:18:49.263      485.99773105    
