Target: HSEYE14

Observer: Bahrain
Start Time (UTC)            Stop Time (UTC)               Duration (s)         
27 Apr 2022 23:51:53.033    27 Apr 2022 23:57:18.898      325.86523894    
28 Apr 2022 01:27:59.884    28 Apr 2022 01:35:43.292      463.40810994    
28 Apr 2022 08:06:39.986    28 Apr 2022 08:11:00.678      260.69160174    
28 Apr 2022 09:42:35.958    28 Apr 2022 09:50:45.305      489.34691042    
28 Apr 2022 23:14:07.642    28 Apr 2022 23:17:11.147      183.50514936    
29 Apr 2022 00:48:47.235    29 Apr 2022 00:56:48.147      480.91229608    
29 Apr 2022 07:28:41.628    29 Apr 2022 07:30:33.375      111.74700471    
29 Apr 2022 09:03:33.307    29 Apr 2022 09:11:43.627      490.31956909    
30 Apr 2022 00:09:41.079    30 Apr 2022 00:17:47.394      486.31557911    
30 Apr 2022 01:50:06.515    30 Apr 2022 01:53:13.089      186.57483134    
30 Apr 2022 08:24:34.394    30 Apr 2022 08:32:33.356      478.96196499    
30 Apr 2022 10:03:30.038    30 Apr 2022 10:08:01.060      271.02226324    
30 Apr 2022 23:30:41.626    30 Apr 2022 23:38:40.607      478.98091165    
01 May 2022 01:09:58.335    01 May 2022 01:14:53.982      295.64691373    
01 May 2022 07:45:39.039    01 May 2022 07:53:14.444      455.40539328    
01 May 2022 09:23:40.152    01 May 2022 09:29:51.782      371.62960642    
01 May 2022 22:51:49.622    01 May 2022 22:59:26.828      457.20602096    
02 May 2022 00:30:10.461    02 May 2022 00:36:16.405      365.94342033    
02 May 2022 07:06:47.545    02 May 2022 07:13:46.367      418.82199560    
02 May 2022 08:44:08.696    02 May 2022 08:51:20.286      431.59046292    
02 May 2022 22:13:06.699    02 May 2022 22:20:04.212      417.51270031    
02 May 2022 23:50:33.640    02 May 2022 23:57:29.464      415.82332574    
03 May 2022 06:28:00.981    03 May 2022 06:34:07.850      366.86914359    
03 May 2022 08:04:47.008    03 May 2022 08:12:35.017      468.00928727    
03 May 2022 21:34:36.518    03 May 2022 21:40:28.888      352.36941084    
03 May 2022 23:11:05.091    03 May 2022 23:18:35.769      450.67827743    
04 May 2022 05:49:22.218    04 May 2022 05:54:15.834      293.61643384    
04 May 2022 07:25:31.799    04 May 2022 07:33:39.043      487.24411492    
04 May 2022 20:56:30.099    04 May 2022 21:00:29.634      239.53495603    
04 May 2022 22:31:43.667    04 May 2022 22:39:36.274      472.60633536    
05 May 2022 05:11:01.682    05 May 2022 05:13:59.742      178.06072544    
05 May 2022 06:46:21.458    05 May 2022 06:54:33.756      492.29800712    
05 May 2022 21:52:28.946    05 May 2022 22:00:31.198      482.25217892    
05 May 2022 23:33:31.387    05 May 2022 23:35:25.896      114.50963557    
06 May 2022 06:07:15.158    06 May 2022 06:15:19.759      484.60075833    
06 May 2022 07:46:35.324    06 May 2022 07:50:17.462      222.13843722    
06 May 2022 21:13:20.989    06 May 2022 21:21:20.272      479.28355724    
06 May 2022 22:52:58.435    06 May 2022 22:57:18.380      259.94514978    
07 May 2022 05:28:12.578    07 May 2022 05:35:57.150      464.57165756    
07 May 2022 07:06:28.027    07 May 2022 07:12:14.269      346.24190120    
07 May 2022 20:34:20.358    07 May 2022 20:42:02.720      462.36222350    
07 May 2022 22:12:58.604    07 May 2022 22:18:39.811      341.20690349    
08 May 2022 04:49:13.866    08 May 2022 04:56:25.563      431.69737053    
08 May 2022 06:26:45.983    08 May 2022 06:33:42.241      416.25713637    
08 May 2022 19:55:28.373    08 May 2022 20:02:37.010      428.63713611    
08 May 2022 21:33:12.124    08 May 2022 21:39:49.826      397.70135541    
09 May 2022 04:10:19.824    09 May 2022 04:16:43.985      384.16069918    
09 May 2022 05:47:15.682    09 May 2022 05:54:54.674      458.99177149    
09 May 2022 19:16:47.922    09 May 2022 19:23:00.041      372.11833654    
09 May 2022 20:53:34.845    09 May 2022 21:00:52.407      437.56180890    
10 May 2022 03:31:32.638    10 May 2022 03:36:50.036      317.39783396    
10 May 2022 05:07:52.800    10 May 2022 05:15:55.671      482.87085736    
10 May 2022 18:38:26.725    10 May 2022 18:43:03.881      277.15605616    
10 May 2022 20:14:05.175    10 May 2022 20:21:48.951      463.77521341    
11 May 2022 02:52:59.217    11 May 2022 02:56:36.642      217.42493841    
11 May 2022 04:28:35.329    11 May 2022 04:36:47.013      491.68397215    
11 May 2022 19:34:42.473    11 May 2022 19:42:39.889      477.41614318    
12 May 2022 03:49:22.235    12 May 2022 03:57:29.501      487.26540045    
