Target: HSEYE16

Observer: Bahrain
Start Time (UTC)            Stop Time (UTC)               Duration (s)         
27 Apr 2022 13:24:48.344    27 Apr 2022 13:31:41.771      413.42746768    
28 Apr 2022 02:53:08.306    28 Apr 2022 03:00:17.451      429.14520769    
28 Apr 2022 04:30:48.198    28 Apr 2022 04:37:29.393      401.19494470    
28 Apr 2022 11:07:49.830    28 Apr 2022 11:14:11.041      381.21071958    
28 Apr 2022 12:44:42.740    28 Apr 2022 12:52:20.645      457.90532723    
29 Apr 2022 02:13:54.979    29 Apr 2022 02:20:04.350      369.37052876    
29 Apr 2022 03:50:35.904    29 Apr 2022 03:57:57.434      441.53019948    
29 Apr 2022 10:28:29.202    29 Apr 2022 10:33:40.514      311.31202534    
29 Apr 2022 12:04:45.000    29 Apr 2022 12:12:47.221      482.22099101    
30 Apr 2022 01:35:03.192    30 Apr 2022 01:39:29.644      266.45236214    
30 Apr 2022 03:10:31.625    30 Apr 2022 03:18:19.011      467.38585315    
30 Apr 2022 09:49:24.297    30 Apr 2022 09:52:48.012      203.71497738    
30 Apr 2022 11:24:52.916    30 Apr 2022 11:33:03.433      490.51624092    
01 May 2022 02:30:34.709    01 May 2022 02:38:34.521      479.81151121    
01 May 2022 04:12:05.005    01 May 2022 04:12:59.362      54.357622645    
01 May 2022 10:45:05.378    01 May 2022 10:53:10.110      484.73174170    
01 May 2022 12:24:38.445    01 May 2022 12:27:47.436      188.99159648    
02 May 2022 01:50:45.116    02 May 2022 01:58:43.743      478.62735575    
02 May 2022 03:30:27.927    02 May 2022 03:34:33.427      245.49989426    
02 May 2022 10:05:21.919    02 May 2022 10:13:07.443      465.52421444    
02 May 2022 11:43:40.459    02 May 2022 11:49:14.374      333.91418630    
03 May 2022 01:11:03.385    03 May 2022 01:18:45.873      462.48787976    
03 May 2022 02:49:43.170    03 May 2022 02:55:17.407      334.23694469    
03 May 2022 09:25:42.622    03 May 2022 09:32:55.072      432.44989738    
03 May 2022 11:03:14.679    03 May 2022 11:10:05.223      410.54384446    
04 May 2022 00:31:30.908    04 May 2022 00:38:39.256      428.34794568    
04 May 2022 02:09:13.719    04 May 2022 02:15:48.148      394.42909771    
04 May 2022 08:46:08.323    04 May 2022 08:52:31.905      383.58208666    
04 May 2022 10:23:02.271    04 May 2022 10:30:38.553      456.28242282    
04 May 2022 23:52:10.856    04 May 2022 23:58:20.464      369.60785429    
05 May 2022 01:28:54.381    05 May 2022 01:36:10.638      436.25674720    
05 May 2022 08:06:41.439    05 May 2022 08:11:55.285      313.84600281    
05 May 2022 09:42:58.013    05 May 2022 09:50:59.318      481.30517264    
05 May 2022 23:13:12.134    05 May 2022 23:17:40.335      268.20106771    
06 May 2022 00:48:43.291    06 May 2022 00:56:26.509      463.21825701    
06 May 2022 07:27:30.153    06 May 2022 07:30:56.825      206.67156118    
06 May 2022 09:02:59.591    06 May 2022 09:11:09.561      489.97027822    
07 May 2022 00:08:39.727    07 May 2022 00:16:36.234      476.50697019    
07 May 2022 08:23:05.853    07 May 2022 08:31:10.164      484.31082579    
07 May 2022 10:02:42.147    07 May 2022 10:05:42.825      180.67851481    
07 May 2022 23:28:43.621    07 May 2022 23:36:39.628      476.00715773    
08 May 2022 01:08:29.689    08 May 2022 01:12:25.561      235.87212951    
08 May 2022 07:43:16.318    08 May 2022 07:51:01.340      465.02221555    
08 May 2022 09:21:35.624    08 May 2022 09:27:06.097      330.47272627    
08 May 2022 22:48:55.505    08 May 2022 22:56:35.904      460.39906936    
09 May 2022 00:27:37.013    09 May 2022 00:33:05.086      328.07298226    
09 May 2022 07:03:31.075    09 May 2022 07:10:42.737      431.66236707    
09 May 2022 08:41:03.155    09 May 2022 08:47:51.500      408.34525544    
09 May 2022 22:09:16.776    09 May 2022 22:16:23.410      426.63401820    
09 May 2022 23:47:00.603    09 May 2022 23:53:30.539      389.93625187    
10 May 2022 06:23:50.987    10 May 2022 06:30:13.243      382.25657145    
10 May 2022 08:00:44.480    10 May 2022 08:08:19.039      454.55872341    
10 May 2022 21:29:50.634    10 May 2022 21:35:58.695      368.06062526    
10 May 2022 23:06:34.684    10 May 2022 23:13:47.497      432.81350560    
11 May 2022 05:44:18.568    11 May 2022 05:49:30.116      311.54815110    
11 May 2022 07:20:34.184    11 May 2022 07:28:33.872      479.68712262    
11 May 2022 20:50:46.118    11 May 2022 20:55:12.476      266.35836528    
11 May 2022 22:26:17.250    11 May 2022 22:33:57.742      460.49244858    
12 May 2022 05:05:02.493    12 May 2022 05:08:24.489      201.99566181    
12 May 2022 06:40:29.895    12 May 2022 06:48:38.109      488.21390384    
12 May 2022 21:46:07.532    12 May 2022 21:54:01.800      474.26820493    
13 May 2022 06:00:30.442    13 May 2022 06:08:32.659      482.21618598    
13 May 2022 07:40:06.614    13 May 2022 07:43:04.458      177.84406906    
13 May 2022 21:06:05.448    13 May 2022 21:13:59.506      474.05808046    
13 May 2022 22:45:52.169    13 May 2022 22:49:43.648      231.47918318    
14 May 2022 05:20:35.346    14 May 2022 05:28:17.736      462.39035967    
14 May 2022 06:58:53.650    14 May 2022 07:04:22.597      328.94751483    
14 May 2022 20:26:11.535    14 May 2022 20:33:50.068      458.53298520    
14 May 2022 22:04:52.748    14 May 2022 22:10:18.348      325.59982158    
15 May 2022 04:40:44.719    15 May 2022 04:47:52.970      428.25052900    
15 May 2022 06:18:15.430    15 May 2022 06:25:02.303      406.87303953    
15 May 2022 19:46:27.221    15 May 2022 19:53:31.803      424.58224901    
15 May 2022 21:24:10.195    15 May 2022 21:30:38.541      388.34535355    
16 May 2022 04:00:59.490    16 May 2022 04:07:17.180      377.69000813    
16 May 2022 05:37:51.217    16 May 2022 05:45:24.056      452.83920887    
16 May 2022 19:06:55.800    16 May 2022 19:13:01.164      365.36331950    
16 May 2022 20:43:38.410    16 May 2022 20:50:50.129      431.71849670    
17 May 2022 03:21:22.382    17 May 2022 03:26:27.417      305.03529761    
17 May 2022 04:57:35.530    17 May 2022 05:05:33.075      477.54445325    
17 May 2022 18:27:46.722    17 May 2022 18:32:08.449      261.72750501    
17 May 2022 20:03:15.308    17 May 2022 20:10:54.964      459.65587691    
18 May 2022 02:42:03.216    18 May 2022 02:45:13.658      190.44265291    
18 May 2022 04:17:25.979    18 May 2022 04:25:31.482      485.50240144    
18 May 2022 19:23:00.096    18 May 2022 19:30:53.589      473.49305794    
19 May 2022 03:37:21.391    19 May 2022 03:45:20.175      478.78495428    
19 May 2022 05:16:54.214    19 May 2022 05:19:54.804      180.58978692    
19 May 2022 18:42:52.686    19 May 2022 18:50:45.827      473.14061379    
19 May 2022 20:22:37.259    19 May 2022 20:26:30.446      233.18688709    
20 May 2022 02:57:21.296    20 May 2022 03:04:59.348      458.05247426    
20 May 2022 04:35:37.002    20 May 2022 04:41:06.427      329.42505417    
20 May 2022 18:02:53.634    20 May 2022 18:10:30.854      457.22035558    
20 May 2022 19:41:32.516    20 May 2022 19:46:59.790      327.27441645    
21 May 2022 02:17:25.843    21 May 2022 02:24:28.575      422.73187148    
