Target: HSEYE5

Observer: Bahrain
Start Time (UTC)            Stop Time (UTC)               Duration (s)         
17 May 2022 15:14:39.619    17 May 2022 15:17:35.420      175.80051371    
18 May 2022 04:40:58.069    18 May 2022 04:48:56.359      478.29012695    
18 May 2022 06:20:43.784    18 May 2022 06:24:50.003      246.21841908    
18 May 2022 12:55:42.890    18 May 2022 13:03:32.867      469.97703837    
18 May 2022 14:34:10.823    18 May 2022 14:39:35.305      324.48184490    
19 May 2022 04:01:46.879    19 May 2022 04:09:30.389      463.51031059    
19 May 2022 05:40:32.480    19 May 2022 05:46:03.816      331.33648108    
19 May 2022 12:16:33.676    19 May 2022 12:23:53.925      440.24809644    
19 May 2022 13:54:15.534    19 May 2022 14:00:58.274      402.74050467    
20 May 2022 03:22:44.145    20 May 2022 03:29:56.581      432.43592485    
20 May 2022 05:00:35.390    20 May 2022 05:07:05.460      390.06979727    
20 May 2022 11:37:28.866    20 May 2022 11:44:05.411      396.54492623    
20 May 2022 13:14:33.723    20 May 2022 13:22:04.120      450.39723484    
21 May 2022 02:43:52.454    21 May 2022 02:50:12.113      379.65914413    
21 May 2022 04:20:47.788    21 May 2022 04:27:59.479      431.69137076    
21 May 2022 10:58:30.141    21 May 2022 11:04:05.434      335.29291487    
21 May 2022 12:35:00.054    21 May 2022 12:42:57.937      477.88263444    
22 May 2022 02:05:18.442    22 May 2022 02:10:10.116      291.67401390    
22 May 2022 03:41:07.917    22 May 2022 03:48:47.422      459.50482663    
22 May 2022 10:19:42.418    22 May 2022 10:23:48.885      246.46713560    
22 May 2022 11:55:32.166    22 May 2022 12:03:41.843      489.67741745    
23 May 2022 01:27:40.197    23 May 2022 01:29:12.270      92.072977067    
23 May 2022 03:01:35.056    23 May 2022 03:09:29.784      474.72798165    
23 May 2022 09:41:39.804    23 May 2022 09:42:41.510      61.706100125    
23 May 2022 11:16:08.845    23 May 2022 11:24:16.805      487.95965872    
23 May 2022 12:56:37.694    23 May 2022 12:57:59.447      81.752541382    
24 May 2022 02:22:09.055    24 May 2022 02:30:06.484      477.42894643    
24 May 2022 04:02:15.243    24 May 2022 04:05:44.299      209.05650160    
24 May 2022 10:36:49.504    24 May 2022 10:44:43.160      473.65559981    
24 May 2022 12:15:32.341    24 May 2022 12:20:25.777      293.43549537    
25 May 2022 01:42:50.249    25 May 2022 01:50:36.943      466.69468089    
25 May 2022 03:21:51.221    25 May 2022 03:26:59.203      307.98151855    
25 May 2022 09:57:34.034    25 May 2022 10:05:00.774      446.73990329    
25 May 2022 11:35:25.858    25 May 2022 11:41:49.906      384.04854303    
26 May 2022 01:03:39.612    26 May 2022 01:10:59.952      440.34046701    
26 May 2022 02:41:44.920    26 May 2022 02:47:58.523      373.60317938    
26 May 2022 09:18:22.871    26 May 2022 09:25:08.975      406.10446909    
26 May 2022 10:55:35.751    26 May 2022 11:02:54.088      438.33695746    
27 May 2022 00:24:39.284    27 May 2022 00:31:13.133      393.84941304    
27 May 2022 02:01:49.188    27 May 2022 02:08:49.235      420.04760911    
27 May 2022 08:39:17.400    27 May 2022 08:45:06.157      348.75667740    
27 May 2022 10:15:54.886    27 May 2022 10:23:45.215      470.32924835    
27 May 2022 23:45:54.435    27 May 2022 23:51:11.081      316.64577451    
28 May 2022 01:22:01.678    28 May 2022 01:29:33.484      451.80537823    
28 May 2022 08:00:21.548    28 May 2022 08:04:48.199      266.65054334    
