Target: HSEYE3

Observer: Bahrain
Start Time (UTC)            Stop Time (UTC)               Duration (s)         
27 Apr 2022 12:08:22.948    27 Apr 2022 12:12:10.357      227.40901974    
27 Apr 2022 18:43:03.742    27 Apr 2022 18:50:51.745      468.00279119    
27 Apr 2022 20:21:49.241    27 Apr 2022 20:26:27.206      277.96457276    
28 Apr 2022 09:48:36.273    28 Apr 2022 09:56:35.910      479.63787726    
28 Apr 2022 11:27:34.437    28 Apr 2022 11:32:58.923      324.48568277    
28 Apr 2022 18:03:23.164    28 Apr 2022 18:10:44.903      441.73936998    
28 Apr 2022 19:41:14.607    28 Apr 2022 19:47:30.361      375.75416034    
29 Apr 2022 09:09:00.654    29 Apr 2022 09:16:33.529      452.87442701    
29 Apr 2022 10:47:02.844    29 Apr 2022 10:53:32.551      389.70763871    
29 Apr 2022 17:23:46.915    29 Apr 2022 17:30:28.004      401.08990133    
29 Apr 2022 19:00:58.062    29 Apr 2022 19:08:11.340      433.27718965    
30 Apr 2022 08:29:35.647    30 Apr 2022 08:36:20.782      405.13481438    
30 Apr 2022 10:06:41.753    30 Apr 2022 10:13:57.490      435.73638849    
30 Apr 2022 16:44:16.481    30 Apr 2022 16:49:59.327      342.84588795    
30 Apr 2022 18:20:51.251    30 Apr 2022 18:28:38.245      466.99340343    
01 May 2022 07:50:26.642    01 May 2022 07:55:52.040      325.39731909    
01 May 2022 09:26:28.984    01 May 2022 09:34:15.721      466.73699295    
01 May 2022 16:04:56.219    01 May 2022 16:09:14.307      258.08745674    
01 May 2022 17:40:50.957    01 May 2022 17:48:54.038      483.08082246    
02 May 2022 07:11:55.320    02 May 2022 07:14:45.386      170.06656114    
02 May 2022 08:46:23.651    02 May 2022 08:54:27.905      484.25323080    
02 May 2022 15:26:10.117    02 May 2022 15:27:48.788      98.671386950    
02 May 2022 17:00:55.615    02 May 2022 17:09:00.022      484.40784422    
03 May 2022 08:06:25.536    03 May 2022 08:14:34.029      488.49287443    
03 May 2022 09:46:32.855    03 May 2022 09:50:09.799      216.94372371    
03 May 2022 16:21:04.466    03 May 2022 16:28:56.696      472.23038091    
03 May 2022 17:59:53.401    03 May 2022 18:04:27.162      273.76114681    
04 May 2022 07:26:34.948    04 May 2022 07:34:33.538      478.58966421    
04 May 2022 09:05:36.046    04 May 2022 09:10:53.835      317.78858383    
04 May 2022 15:41:17.312    04 May 2022 15:48:43.997      446.68495771    
04 May 2022 17:19:10.887    04 May 2022 17:25:25.774      374.88662299    
05 May 2022 06:46:52.871    05 May 2022 06:54:25.204      452.33326588    
05 May 2022 08:24:57.330    05 May 2022 08:31:21.959      384.62932626    
05 May 2022 15:01:34.550    05 May 2022 15:08:21.272      406.72207223    
05 May 2022 16:38:47.384    05 May 2022 16:46:01.404      434.02010486    
06 May 2022 06:07:21.501    06 May 2022 06:14:06.584      405.08311763    
06 May 2022 07:44:29.542    06 May 2022 07:51:41.163      431.62089080    
06 May 2022 14:21:57.581    06 May 2022 14:27:46.881      349.30026666    
06 May 2022 15:58:33.990    06 May 2022 16:06:22.694      468.70421347    
07 May 2022 05:28:06.179    07 May 2022 05:33:32.089      325.90978048    
07 May 2022 07:04:10.332    07 May 2022 07:11:53.592      463.26003440    
07 May 2022 13:42:30.481    07 May 2022 13:46:56.533      266.05211191    
07 May 2022 15:18:27.342    07 May 2022 15:26:32.744      485.40190724    
08 May 2022 04:49:28.234    08 May 2022 04:52:20.142      171.90782398    
08 May 2022 06:23:58.750    08 May 2022 06:31:59.958      481.20819821    
08 May 2022 13:03:33.687    08 May 2022 13:05:29.617      115.92987436    
08 May 2022 14:38:25.813    08 May 2022 14:46:32.911      487.09786936    
09 May 2022 05:43:54.545    09 May 2022 05:52:00.266      485.72026575    
09 May 2022 07:24:04.559    09 May 2022 07:27:32.889      208.33040541    
09 May 2022 13:58:28.609    09 May 2022 14:06:23.715      475.10595530    
09 May 2022 15:37:18.291    09 May 2022 15:41:52.430      274.13852419    
10 May 2022 05:03:58.016    10 May 2022 05:11:53.957      475.94082335    
10 May 2022 06:43:00.279    10 May 2022 06:48:12.474      312.19561854    
10 May 2022 13:18:35.509    10 May 2022 13:26:05.104      449.59464823    
10 May 2022 14:56:29.376    10 May 2022 15:02:45.641      376.26569542    
11 May 2022 04:24:10.148    11 May 2022 04:31:39.784      449.63607673    
11 May 2022 06:02:15.097    11 May 2022 06:08:35.290      380.19352000    
11 May 2022 12:38:46.895    11 May 2022 12:45:36.428      409.53274712    
11 May 2022 14:15:59.806    11 May 2022 14:23:15.604      435.79836324    
12 May 2022 03:44:33.173    12 May 2022 03:51:15.250      402.07667806    
12 May 2022 05:21:41.185    12 May 2022 05:28:48.976      427.79155505    
12 May 2022 11:59:04.155    12 May 2022 12:04:56.044      351.88970331    
12 May 2022 13:35:40.518    12 May 2022 13:43:31.109      470.59145429    
13 May 2022 03:05:12.584    13 May 2022 03:10:34.597      322.01238535    
13 May 2022 04:41:16.048    13 May 2022 04:48:55.802      459.75435285    
13 May 2022 11:19:31.350    13 May 2022 11:23:59.664      268.31405209    
13 May 2022 12:55:28.097    13 May 2022 13:03:35.293      487.19589174    
14 May 2022 02:26:31.111    14 May 2022 02:29:14.833      163.72147354    
14 May 2022 04:00:58.688    14 May 2022 04:08:56.516      477.82751693    
14 May 2022 10:40:28.727    14 May 2022 10:42:26.854      118.12634768    
14 May 2022 12:15:20.893    14 May 2022 12:23:29.522      488.62866157    
15 May 2022 03:20:48.835    15 May 2022 03:28:51.120      482.28572801    
15 May 2022 05:00:59.497    15 May 2022 05:04:21.801      202.30357385    
15 May 2022 11:35:18.103    15 May 2022 11:43:14.312      476.20970453    
15 May 2022 13:14:06.088    15 May 2022 13:18:44.175      278.08734732    
16 May 2022 02:40:46.791    16 May 2022 02:48:39.042      472.25130151    
16 May 2022 04:19:48.495    16 May 2022 04:24:56.731      308.23603305    
16 May 2022 10:55:19.509    16 May 2022 11:02:49.599      450.09088655    
16 May 2022 12:33:11.949    16 May 2022 12:39:31.111      379.16145113    
17 May 2022 02:00:53.576    17 May 2022 02:08:18.988      445.41208630    
17 May 2022 03:38:57.322    17 May 2022 03:45:14.236      376.91336749    
17 May 2022 10:15:25.515    17 May 2022 10:22:14.703      409.18844703    
17 May 2022 11:52:36.972    17 May 2022 11:59:54.993      438.02032080    
18 May 2022 01:21:11.522    18 May 2022 01:27:48.351      396.82903691    
18 May 2022 02:58:17.661    18 May 2022 03:05:22.436      424.77441975    
18 May 2022 09:35:37.579    18 May 2022 09:41:27.907      350.32860894    
18 May 2022 11:12:12.271    18 May 2022 11:20:04.428      472.15632837    
19 May 2022 00:41:46.479    19 May 2022 00:47:01.014      314.53588918    
19 May 2022 02:17:46.922    19 May 2022 02:25:23.687      456.76553979    
19 May 2022 08:56:00.018    19 May 2022 09:00:24.667      264.64896498    
19 May 2022 10:31:54.472    19 May 2022 10:40:02.508      488.03687145    
20 May 2022 00:03:04.619    20 May 2022 00:05:30.536      145.91693699    
20 May 2022 01:37:24.081    20 May 2022 01:45:18.758      474.67717443    
20 May 2022 08:16:56.023    20 May 2022 08:18:41.610      105.58685437    
20 May 2022 09:51:41.943    20 May 2022 09:59:50.580      488.63705678    
21 May 2022 00:57:08.873    21 May 2022 01:05:07.647      478.77466183    
21 May 2022 02:37:17.847    21 May 2022 02:40:37.958      200.11098837    
21 May 2022 09:11:33.904    21 May 2022 09:19:29.139      475.23564933    
