Target: HSEYE6

Observer: Bahrain
Start Time (UTC)            Stop Time (UTC)               Duration (s)         
27 Apr 2022 13:22:31.968    27 Apr 2022 13:28:02.009      330.04102882    
27 Apr 2022 14:58:46.276    27 Apr 2022 15:06:33.959      467.68321783    
27 Apr 2022 21:37:44.711    27 Apr 2022 21:42:23.140      278.42891972    
27 Apr 2022 23:13:55.323    27 Apr 2022 23:22:05.814      490.49092579    
28 Apr 2022 12:46:06.109    28 Apr 2022 12:49:37.686      211.57702674    
28 Apr 2022 14:21:06.641    28 Apr 2022 14:29:10.259      483.61806589    
28 Apr 2022 21:00:59.389    28 Apr 2022 21:03:49.891      170.50260723    
28 Apr 2022 22:36:24.111    28 Apr 2022 22:44:37.305      493.19381107    
29 Apr 2022 13:43:32.010    29 Apr 2022 13:51:42.009      489.99922376    
29 Apr 2022 15:24:16.329    29 Apr 2022 15:27:08.140      171.81118336    
29 Apr 2022 21:58:55.784    29 Apr 2022 22:07:01.789      486.00432583    
29 Apr 2022 23:38:22.264    29 Apr 2022 23:42:09.263      226.99955581    
30 Apr 2022 13:06:02.487    30 Apr 2022 13:14:08.932      486.44489186    
30 Apr 2022 14:45:42.282    30 Apr 2022 14:50:20.494      278.21189527    
30 Apr 2022 21:21:30.115    30 Apr 2022 21:29:19.312      469.19698828    
30 Apr 2022 22:59:58.643    30 Apr 2022 23:05:37.738      339.09470506    
01 May 2022 12:28:38.489    01 May 2022 12:36:30.446      471.95720327    
01 May 2022 14:07:27.308    01 May 2022 14:13:14.955      347.64752310    
01 May 2022 20:44:07.155    01 May 2022 20:51:29.647      442.49281716    
01 May 2022 22:21:55.979    01 May 2022 22:28:41.992      406.01263539    
02 May 2022 11:51:20.881    02 May 2022 11:58:45.515      444.63411231    
02 May 2022 13:29:22.155    02 May 2022 13:36:00.671      398.51535377    
02 May 2022 20:06:47.313    02 May 2022 20:13:32.213      404.90010779    
02 May 2022 21:44:03.376    02 May 2022 21:51:32.748      449.37259590    
03 May 2022 11:14:11.371    03 May 2022 11:20:52.267      400.89575319    
03 May 2022 12:51:24.058    03 May 2022 12:58:40.281      436.22247769    
03 May 2022 19:29:31.636    03 May 2022 19:35:25.808      354.17282120    
03 May 2022 21:06:17.106    03 May 2022 21:14:13.564      476.45772138    
04 May 2022 10:37:13.696    04 May 2022 10:42:46.806      333.11058821    
