Target: HSEYE15

Observer: Bahrain
Start Time (UTC)            Stop Time (UTC)               Duration (s)         
27 Apr 2022 11:59:28.000    27 Apr 2022 12:00:45.161      77.160569269    
28 Apr 2022 01:22:24.108    28 Apr 2022 01:28:51.893      387.78410351    
28 Apr 2022 02:59:19.785    28 Apr 2022 03:06:36.589      436.80372108    
28 Apr 2022 09:37:08.564    28 Apr 2022 09:42:38.271      329.70692909    
28 Apr 2022 11:13:34.266    28 Apr 2022 11:21:33.095      478.82921984    
29 Apr 2022 00:43:43.842    29 Apr 2022 00:48:43.864      300.02208960    
29 Apr 2022 02:19:33.348    29 Apr 2022 02:27:18.443      465.09478261    
29 Apr 2022 08:58:16.639    29 Apr 2022 09:02:12.961      236.32127809    
29 Apr 2022 10:34:00.231    29 Apr 2022 10:42:10.722      490.49053980    
30 Apr 2022 00:05:55.962    30 Apr 2022 00:07:43.118      107.15546667    
30 Apr 2022 01:39:54.031    30 Apr 2022 01:47:54.409      480.37799438    
30 Apr 2022 09:54:30.710    30 Apr 2022 10:02:39.005      488.29516912    
30 Apr 2022 11:34:41.648    30 Apr 2022 11:36:37.324      115.67620538    
01 May 2022 01:00:21.673    01 May 2022 01:08:24.402      482.72902141    
01 May 2022 02:40:25.208    01 May 2022 02:44:02.132      216.92404216    
01 May 2022 09:15:05.128    01 May 2022 09:22:58.260      473.13123633    
01 May 2022 10:53:40.978    01 May 2022 10:58:46.052      305.07394908    
02 May 2022 00:20:56.634    02 May 2022 00:28:47.823      471.18925204    
02 May 2022 01:59:54.578    02 May 2022 02:05:09.905      315.32764365    
02 May 2022 08:35:43.420    02 May 2022 08:43:08.296      444.87635507    
02 May 2022 10:13:29.234    02 May 2022 10:20:02.106      392.87225140    
02 May 2022 23:41:39.946    02 May 2022 23:49:03.394      443.44734515    
03 May 2022 01:19:41.461    03 May 2022 01:26:02.151      380.69008521    
03 May 2022 07:56:26.120    03 May 2022 08:03:08.336      402.21597649    
03 May 2022 09:33:33.060    03 May 2022 09:40:58.602      445.54205599    
03 May 2022 23:02:33.907    03 May 2022 23:09:08.578      394.67084825    
04 May 2022 00:39:38.944    04 May 2022 00:46:45.606      426.66196357    
04 May 2022 07:17:14.860    04 May 2022 07:22:56.518      341.65779686    
04 May 2022 08:53:45.800    04 May 2022 09:01:41.947      476.14628234    
04 May 2022 22:23:44.188    04 May 2022 22:28:57.472      313.28456921    
04 May 2022 23:59:44.725    05 May 2022 00:07:22.364      457.63839012    
05 May 2022 06:38:14.429    05 May 2022 06:42:27.858      253.42919833    
05 May 2022 08:14:04.695    05 May 2022 08:22:14.654      489.95852103    
05 May 2022 21:45:35.439    05 May 2022 21:48:05.194      149.75466669    
05 May 2022 23:19:57.873    05 May 2022 23:27:53.135      475.26183827    
06 May 2022 05:59:55.050    06 May 2022 06:01:11.976      76.926643448    
06 May 2022 07:34:28.370    06 May 2022 07:42:37.850      489.47929912    
06 May 2022 09:15:31.888    06 May 2022 09:15:40.644      8.7556448998    
06 May 2022 22:40:18.135    06 May 2022 22:48:17.941      479.80546021    
07 May 2022 00:20:35.425    07 May 2022 00:23:43.957      188.53139228    
07 May 2022 06:54:56.169    07 May 2022 07:02:51.942      475.77324479    
07 May 2022 08:33:40.348    07 May 2022 08:38:28.302      287.95358108    
07 May 2022 22:00:45.793    07 May 2022 22:08:36.261      470.46806146    
