Target: HSEYE4

Observer: Bahrain
Start Time (UTC)            Stop Time (UTC)               Duration (s)         
27 Apr 2022 11:59:40.134    27 Apr 2022 12:07:48.943      488.80928792    
27 Apr 2022 13:41:03.692    27 Apr 2022 13:42:28.623      84.931458521    
27 Apr 2022 20:14:24.305    27 Apr 2022 20:22:26.511      482.20553646    
27 Apr 2022 21:54:30.218    27 Apr 2022 21:56:33.105      122.88748159    
28 Apr 2022 11:20:09.446    28 Apr 2022 11:28:18.772      489.32578331    
28 Apr 2022 12:59:58.522    28 Apr 2022 13:04:10.809      252.28676086    
28 Apr 2022 19:34:59.430    28 Apr 2022 19:42:46.512      467.08273985    
28 Apr 2022 21:13:34.216    28 Apr 2022 21:18:38.564      304.34821153    
29 Apr 2022 10:40:45.947    29 Apr 2022 10:48:42.011      476.06456350    
29 Apr 2022 12:19:34.792    29 Apr 2022 12:25:13.499      338.70753500    
29 Apr 2022 18:55:38.252    29 Apr 2022 19:02:57.444      439.19229285    
29 Apr 2022 20:33:24.045    29 Apr 2022 20:39:54.397      390.35190856    
30 Apr 2022 10:01:30.738    30 Apr 2022 10:08:57.324      446.58576638    
30 Apr 2022 11:39:25.285    30 Apr 2022 11:46:03.783      398.49756412    
30 Apr 2022 18:16:21.290    30 Apr 2022 18:22:58.550      397.25938184    
30 Apr 2022 19:53:28.915    30 Apr 2022 20:00:51.153      442.23879771    
01 May 2022 09:22:26.218    01 May 2022 09:29:02.082      395.86428059    
01 May 2022 10:59:25.284    01 May 2022 11:06:46.210      440.92560138    
01 May 2022 17:37:10.117    01 May 2022 17:42:48.035      337.91792484    
01 May 2022 19:13:42.412    01 May 2022 19:21:35.006      472.59439146    
02 May 2022 08:43:38.319    02 May 2022 08:48:50.127      311.80767462    
02 May 2022 10:19:33.035    02 May 2022 10:27:22.340      469.30456823    
02 May 2022 16:58:09.305    02 May 2022 17:02:21.133      251.82789786    
02 May 2022 18:34:01.852    02 May 2022 18:42:08.397      486.54473479    
03 May 2022 08:05:34.081    03 May 2022 08:07:54.196      140.11414333    
03 May 2022 09:39:47.822    03 May 2022 09:47:52.678      484.85631386    
03 May 2022 16:19:46.150    03 May 2022 16:21:10.400      84.249865520    
03 May 2022 17:54:25.887    03 May 2022 18:02:32.427      486.53944979    
03 May 2022 19:35:26.211    03 May 2022 19:35:41.386      15.175314050    
04 May 2022 09:00:09.498    04 May 2022 09:08:17.145      487.64698911    
04 May 2022 10:40:11.756    04 May 2022 10:43:58.963      227.20638618    
04 May 2022 17:14:53.863    04 May 2022 17:22:47.506      473.64364020    
04 May 2022 18:53:39.242    04 May 2022 18:58:25.539      286.29684784    
05 May 2022 08:20:38.414    05 May 2022 08:28:35.168      476.75428642    
05 May 2022 09:59:37.150    05 May 2022 10:04:59.329      322.17854160    
05 May 2022 16:35:25.627    05 May 2022 16:42:53.544      447.91777642    
05 May 2022 18:13:18.529    05 May 2022 18:19:39.778      381.24929185    
06 May 2022 07:41:15.555    06 May 2022 07:48:45.529      449.97356955    
06 May 2022 09:19:19.000    06 May 2022 09:25:45.265      386.26466836    
06 May 2022 15:56:01.579    06 May 2022 16:02:49.906      408.32747963    
06 May 2022 17:33:15.066    06 May 2022 17:40:32.875      437.80906572    
07 May 2022 07:02:03.085    07 May 2022 07:08:45.836      402.75153861    
07 May 2022 08:39:11.137    07 May 2022 08:46:22.780      431.64302594    
07 May 2022 15:16:43.050    07 May 2022 15:22:35.042      351.99150288    
07 May 2022 16:53:21.082    07 May 2022 17:01:12.364      471.28198753    
08 May 2022 06:23:06.202    08 May 2022 06:28:30.662      324.45997442    
08 May 2022 07:59:11.434    08 May 2022 08:06:53.805      462.37107982    
08 May 2022 14:37:33.800    08 May 2022 14:42:04.994      271.19382236    
08 May 2022 16:13:33.505    08 May 2022 16:21:41.071      487.56580995    
09 May 2022 05:44:45.270    09 May 2022 05:47:39.417      174.14726566    
09 May 2022 07:19:19.022    09 May 2022 07:27:18.998      479.97597044    
09 May 2022 13:58:50.988    09 May 2022 14:01:02.448      131.45965082    
09 May 2022 15:33:50.821    09 May 2022 15:42:00.264      489.44360259    
10 May 2022 06:39:33.665    10 May 2022 06:47:38.362      484.69739141    
10 May 2022 08:19:48.340    10 May 2022 08:23:09.893      201.55282889    
10 May 2022 14:54:12.276    10 May 2022 15:02:10.445      478.16938102    
10 May 2022 16:33:06.590    10 May 2022 16:37:36.680      270.08956958    
11 May 2022 05:59:55.635    11 May 2022 06:07:51.388      475.75343878    
11 May 2022 07:39:02.814    11 May 2022 07:44:08.917      306.10232153    
11 May 2022 14:14:37.642    11 May 2022 14:22:11.589      453.94649799    
11 May 2022 15:52:36.118    11 May 2022 15:58:49.245      373.12692309    
12 May 2022 05:20:25.827    12 May 2022 05:27:56.938      451.11049352    
12 May 2022 06:58:36.506    12 May 2022 07:04:50.937      374.43064264    
12 May 2022 13:35:07.235    12 May 2022 13:42:03.136      415.90055670    
12 May 2022 15:12:25.066    12 May 2022 15:19:38.631      433.56546132    
13 May 2022 04:41:06.240    13 May 2022 04:47:52.770      406.53009071    
13 May 2022 06:18:21.313    13 May 2022 06:25:23.888      422.57481201    
13 May 2022 12:55:42.233    13 May 2022 13:01:43.671      361.43745503    
13 May 2022 14:32:24.261    13 May 2022 14:40:13.758      469.49690053    
14 May 2022 04:02:01.612    14 May 2022 04:07:33.902      332.28973041    
14 May 2022 05:38:14.682    14 May 2022 05:45:50.114      455.43247112    
14 May 2022 12:16:25.956    14 May 2022 12:21:09.664      283.70724429    
14 May 2022 13:52:30.269    14 May 2022 14:00:37.804      487.53476097    
15 May 2022 03:23:29.060    15 May 2022 03:26:42.971      193.91082743    
15 May 2022 04:58:15.576    15 May 2022 05:06:10.422      474.84651916    
15 May 2022 11:37:31.966    15 May 2022 11:40:07.378      155.41196822    
